gene	length
PST_0734	2286
PST_0738	1254
PST_0739	828
PST_2820	933
PST_2592	1332
PST_1595	414
PST_2594	1005
glpD-1	1545
PST_2596	168
PST_2597	2568
PST_2598	510
PST_2599	1431
PST_2822	615
PST_2713	264
PST_1487	279
PST_1486	846
PST_1485	876
PST_1484	1629
fimT	495
fimU	537
PST_1481	474
PST_1480	3039
PST_3188	75
acdA	1152
PST_2354	969
PST_2355	207
PST_2352	759
PST_2353	180
PST_1489	1404
PST_1488	249
PST_3348	285
PST_3349	1011
PST_3346	267
PST_2239	993
PST_3344	1260
glcC	774
cca	1398
PST_0538	543
PST_3340	2853
PST_2238	255
pilQ	2139
pilP	528
pilS	1593
pilR	1392
pilU	1065
nspC	1098
pilW	738
pilV	582
pilX	555
pilZ	357
PST_0606	1158
PST_0607	1212
pilC	1218
pilB	1704
pilE	408
pilD	870
PST_0600	390
PST_0601	1272
pilI	528
pilH	366
pilK	867
PST_1736	525
pilM	795
xenB	1569
PST_0608	786
PST_0609	1443
wbpE	1161
rumA	1353
PST_3641	738
oprJ	1134
oprI	255
oprH	465
oprO	1290
oprN	1389
oprM	1422
oprL	504
oprC	2250
nosY	831
nosZ	1914
PST_1999	840
oprG	678
oprF	948
psd	894
PST_3614	450
PST_0518	441
PST_0519	528
nosD	1191
nosF	927
PST_2768	540
PST_2767	1191
PST_2766	540
PST_2765	1290
PST_2764	798
PST_2763	927
PST_0517	246
PST_2761	675
PST_0515	243
PST_1021	3801
PST_1023	1443
PST_1022	846
PST_1025	522
PST_1024	516
dnaE2	3198
PST_1028	858
PST_3615	1995
PST_3416	891
fadAx	1110
PST_3962	1242
PST_3963	834
PST_3046	816
PST_3966	690
PST_3414	657
PST_3968	591
PST_3415	633
PST_3040	165
PST_1129	483
PST_1124	2124
PST_1125	909
PST_1127	1188
PST_1120	2037
PST_1121	645
PST_1122	654
PST_1123	3720
PST_2612	1134
PST_2611	621
PST_2610	897
PST_0468	1476
PST_2614	786
PST_0467	594
PST_0464	369
PST_0462	864
ddl	945
PST_3472	345
ushA	1818
groEL	1641
PST_3934	438
groES	294
PST_1230	378
glmU	1359
PST_1235	207
PST_1236	951
PST_1237	996
PST_1238	831
PST_1239	414
PST_3286	921
PST_2907	1338
PST_2906	330
PST_2905	921
PST_2904	456
PST_2903	738
PST_2902	471
PST_2901	837
PST_2900	804
PST_3834	951
ftsX	1020
PST_2909	927
PST_2908	1107
catA	852
catB	1122
catC	291
PST_3612	192
PST_3837	1131
pyrG	1632
PST_3748	870
PST_3749	633
fadB1x	774
PST_0059	405
PST_0058	810
PST_0057	1209
PST_0056	3039
PST_0055	387
PST_3741	2043
PST_3746	675
PST_0052	1641
PST_0051	2907
PST_0050	390
PST_3988	2394
PST_0299	918
PST_0298	1635
yegD	1320
PST_0295	243
PST_0294	603
PST_0297	2022
arcC-1	873
lon	2397
PST_3985	375
pyrB	1017
PST_1836	1413
PST_1837	918
PST_1834	2421
PST_1835	405
PST_1832	615
PST_1830	1383
PST_2833	666
PST_2832	711
PST_2837	246
PST_2836	471
PST_2835	162
PST_1839	612
PST_2078	1194
PST_0198	933
PST_2511	1449
PST_3405	492
PST_3407	621
PST_3406	1878
PST_3401	372
PST_3400	534
ltaA	1047
PST_3402	279
glpQ	1062
PST_3409	1515
PST_3408	543
rhdA	816
nifY2	732
PST_1983	822
PST_0183	771
PST_1909	2001
PST_0185	867
PST_0184	213
PST_0189	303
PST_0188	942
PST_1900	819
PST_1901	1095
PST_1906	216
PST_1907	918
PST_1904	987
PST_1905	279
phaJ1	471
PST_2161	921
PST_2160	594
PST_2163	858
PST_2162	957
PST_2164	1017
PST_2167	3172
PST_3579	927
PST_3578	399
aer	1848
soxR	477
PST_0905	1473
PST_3573	477
PST_0331	420
PST_3575	708
PST_1610	1599
ohr	429
PST_3576	732
aceK	1743
PST_2781	1473
PST_1611	411
PST_2079	1701
PST_2780	1143
PST_0981	294
moaA2	996
PST_0983	450
PST_0982	936
PST_0985	609
PST_0984	558
aceE	2646
PST_0986	1083
PST_2951	1050
PST_2077	1935
PST_2782	417
PST_2076	966
icd	1257
xcpW	714
pobR	840
xcpV	417
lysA	1248
lysC	1239
PST_1593	960
PST_1592	396
hsdS	1584
hsdR	3474
lysS	1281
acsA	1956
PST_1594	255
bfrB	471
PST_3833	801
xcpQ	1935
PST_3924	603
xcpP	645
PST_2240	1023
bfrA	513
PST_0879	588
PST_0878	1119
PST_2241	639
PST_0875	684
ansA	1131
PST_0877	1674
PST_0876	867
PST_0871	984
PST_0870	1140
PST_0873	1461
PST_0872	660
norR	1557
PST_0721	1272
pth	381
PST_4206	1521
alc	996
pta	2097
PST_2245	558
PST_2583	351
PST_3247	624
PST_2246	786
PST_2585	306
PST_2584	1602
PST_3245	2835
arcB-2	1011
PST_3193	1368
PST_3131	609
PST_3190	618
PST_3197	1872
PST_3196	3729
PST_3195	3309
PST_2346	1413
PST_2349	1110
PST_2348	1428
PST_3199	864
PST_3198	1458
PST_3351	504
PST_3350	495
PST_3353	1020
PST_3352	2166
rpmG	156
PST_3357	807
PST_3356	714
PST_3359	135
PST_3358	948
rpmF	183
PST_0619	381
PST_0618	2481
rpsR	231
PST_4204	261
PST_0611	1134
PST_0610	555
PST_0613	1041
PST_0612	1614
PST_0615	1752
PST_0614	1986
PST_0617	1077
PST_0616	1365
atpI	327
atpH	537
PST_4148	540
atpC	435
parC	2253
atpA	1545
atpG	867
atpF	471
atpE	228
atpD	1377
ureB	306
hemK	828
hemH	1026
ureA	303
pcoB	831
ureG	615
hemL	1284
PST_1589	1134
hemB	1014
hemC	945
PST_1584	885
PST_1585	270
hemF	921
PST_1583	1029
hemD	771
hemE	1104
hemY	1221
parB	873
PST_3629	1095
PST_2513	1101
gor	1359
PST_3628	897
moaB2	546
aspS	1815
PST_2752	240
PST_2378	77
PST_2750	747
PST_2751	423
PST_0509	693
PST_2757	1110
PST_2755	813
PST_0505	426
PST_0507	702
PST_0506	330
PST_0501	486
PST_0500	1497
PST_4203	366
PST_1054	513
PST_1052	555
PST_1053	591
sun	1323
PST_1059	681
trmA	1089
sbcC	3654
trmB	717
trmE	1368
trmD	753
sbcD	1407
PST_3622	273
PST_4200	789
PST_3975	324
PST_3974	1179
PST_3976	363
PST_3973	594
PST_3972	423
fadD1	1692
PST_1139	777
PST_1138	453
PST_1137	627
PST_1136	705
PST_1134	330
PST_1133	339
PST_1131	1110
PST_1130	582
PST_2626	528
PST_0470	2571
PST_0475	429
PST_0474	1329
PST_0477	1563
PST_0479	738
PST_0478	525
codA	1236
cmpX	831
valS	2835
sodB	582
sodC	522
PST_2521	732
astE	999
PST_3224	1371
morB	1119
PST_1221	456
PST_1220	255
PST_2932	762
PST_2933	1005
PST_2930	1266
PST_2931	645
pntB	1431
PST_2937	555
PST_2934	444
pepA	1491
tpiA	756
PST_3674	996
malS	2073
malQ	2076
PST_0062	651
PST_0063	1374
PST_0060	1107
PST_0061	882
PST_0066	1359
PST_0064	747
PST_0065	1359
malF	1659
malG	891
malE	1362
PST_3751	300
PST_3750	924
PST_3753	1005
PST_1042	492
PST_0260	76
PST_0261	1203
PST_0262	1377
PST_0263	552
PST_0264	1107
PST_0266	309
PST_0267	4755
PST_0268	1488
PST_0269	714
PST_1823	1032
PST_1825	774
PST_1824	759
PST_1827	609
PST_1826	702
ibpA	447
tolR-1	465
csgG	804
PST_2807	471
PST_2878	1038
def	507
PST_2801	813
PST_1581	345
PST_2416	807
recD	1851
PST_1955	2559
PST_4188	612
PST_4185	555
PST_4184	2406
PST_2411	2706
PST_4181	408
PST_4180	375
PST_4183	477
PST_4182	2271
PST_1919	1083
PST_1915	768
PST_1914	1059
PST_1917	1140
ponA	2235
mgtE	1443
PST_1913	438
PST_1912	456
secA	2760
secB	495
secE	369
secD	1728
secG	426
secF	912
PST_1788	76
PST_2115	222
PST_2116	954
PST_2117	447
PST_2110	1620
PST_2112	423
PST_1680a	120
recR	600
ilvI	1701
ilvH	492
secY	1329
ccoN-1	1425
ccoN-2	1428
PST_3507	624
PST_3501	402
PST_2946	816
PST_3503	534
ispG	1017
PST_1789	77
hfq	255
clpB	2565
PST_0088	621
PST_0089	939
PST_0081	915
PST_0082	546
PST_0083	873
PST_3403	639
PST_0085	1116
PST_0086	2772
PST_0087	1110
allA	513
poxB	1803
gidB	648
PST_2021	1356
PST_2023	294
ffh	1449
PST_3210	606
PST_2381	402
PST_3212	1128
PST_3213	1164
PST_3214	1608
PST_3215	798
PST_3216	1911
PST_3217	900
PST_3218	696
PST_3219	630
metX	1140
PST_0880	840
PST_0881	1284
PST_0882	921
PST_0883	555
tctD	816
PST_0885	555
PST_0886	858
PST_0887	612
PST_0888	540
PST_4010	1197
ctpL	1962
PST_3248a	120
cvrA	1629
moaC	471
PST_3713	501
PST_2603	903
moaA	990
PST_3715	891
PST_3714	417
PST_2334	603
PST_2335	1194
PST_2336	444
PST_2330	924
PST_2331	597
PST_2332	561
PST_2638	600
PST_2358	2895
pncB1	1200
PST_3320	312
PST_3321	435
lolC	1296
lolB	621
lolA	648
dapB	807
PST_0668	1431
trx-1	870
lolE	1125
dapF	831
PST_2753	1296
PST_0665	363
PST_0666	471
PST_0667	561
PST_0660	831
PST_0661	2406
PST_0662	606
ribE-1	663
cyaY	333
PST_4159	1314
nasF	1332
potF2	1098
potF3	1086
xcpU	570
xcpT	441
xcpS	1215
xcpR	1722
PST_1597	1644
PST_1596	369
PST_1599	972
PST_1598	282
PST_2242	378
PST_2243	1068
PST_2244	768
xcpZ	516
xcpY	933
xcpX	990
PST_1573	186
guaD	1308
PST_3032	1005
PST_3034	1044
PST_3036	201
PST_2731	1437
arcD-2	1428
cadR	453
rnhA	456
PST_2747	393
PST_2746	342
PST_2741	744
PST_2740	693
PST_2743	729
PST_2742	348
nasD	783
PST_0400	666
PST_2749	357
PST_2748	783
guaB	1470
recJ	1587
mtlK	1116
tolQ-1	714
recN	1674
recO	711
recB	3549
recC	3279
recA	1047
recF	1113
recG	2073
PST_1049	759
recX	423
PST_2593	762
ispH	759
nasE	792
ispD	705
ispF	474
recQ	2124
ispA	888
ispB	969
PST_2359	1413
PST_2114	468
elbB	666
moaE	459
moaD	249
tatA	231
tatC	804
tatB	420
PST_2639	2226
PST_1103	204
PST_1100	1731
PST_1101	288
PST_1106	273
PST_1107	525
PST_1104	585
PST_1105	1494
PST_1108	1167
PST_1109	261
PST_2635	186
hisB	594
dinG	2052
dinF	1374
PST_0406	429
PST_0407	1227
gph	702
PST_0401	966
PST_0402	888
PST_0403	270
mtlG	834
PST_0408	657
PST_0409	480
pyrF	537
dinP	1083
gntR	855
csdA	1206
gcvH1	390
iscU	387
PST_3698	1260
PST_3699	1320
PST_3694	1038
PST_3695	765
PST_3696	831
PST_3697	177
PST_2019	687
PST_2383	321
PST_3692	1179
dtD	438
pyrE	648
greA	477
greB	519
ubiF	1221
PST_1483	291
ubiE	771
ubiB	1608
ubiA	894
PST_1217	516
cadA-2	2283
PST_1215	1245
PST_1212	585
PST_1213	1107
PST_1210	2484
PST_1211	576
PST_0310	1239
PST_0311	1791
PST_0312	1164
PST_0313	432
PST_0314	606
PST_0315	672
PST_0316	2400
PST_1219	786
aat	681
bioD	735
PST_4102	2055
PST_2357	468
PST_2986	702
arsC-3	480
PST_3439	165
PST_3074	318
miaA	999
miaB	1221
selD	1035
uxpB	1962
selA	1410
selB	1917
PST_0075	534
PST_0074	765
PST_2350	795
PST_0073	663
PST_0072	939
PST_2351	669
PST_0273	1266
PST_0272	678
PST_0271	1365
PST_0270	1785
PST_0277	390
PST_1859	846
efp	567
PST_1849	1248
PST_0279	3459
PST_0278	2319
PST_1850	2529
PST_1851	1599
PST_1852	414
PST_1853	852
PST_2811	750
galE	1065
eda-1	738
PST_2815	732
PST_2814	471
PST_2817	570
PST_2816	216
rarD-1	891
rarD-2	918
PST_3062	1383
PST_3815	837
PST_3690	2067
gabT	1257
PST_3060	411
PST_3691	1047
rho	1260
PST_3347	801
phrB	1431
PST_3693	3117
PST_4170	1056
PST_4172	636
PST_3345	246
PST_4174	2454
PST_4175	963
PST_4176	516
PST_4177	531
rluD	975
PST_3342	75
PST_3998	735
PST_3343	1341
PST_3446	2109
ppa-1	528
PST_3070	1122
tpx	501
queA	966
prpB	888
pntAA	1122
pntAB	318
queF	897
PST_2107	2427
PST_2106	87
PST_2105	405
PST_2104	699
PST_2103	345
PST_2102	1254
PST_2101	1215
PST_2100	1011
mrdA-2	1890
ubiG	699
nirQ	708
PST_3514	210
PST_3513	996
PST_3512	891
PST_3511	384
pilT	1035
clpX	1317
gshB	951
tal	927
clpS	504
gshA	1578
sspB	408
sspA	618
PST_4084	747
PST_4085	144
PST_0099	2106
PST_0098	1206
PST_4081	1074
PST_4082	1323
PST_4083	792
PST_0093	1872
PST_0092	1137
PST_0091	1089
PST_0090	786
PST_4089	261
PST_0095	696
PST_0094	77
PST_2887	216
zwf-3	1443
plsX	1041
PST_1214	819
hrpA	4278
PST_2033	726
PST_2032	537
PST_2031	1527
PST_2030	984
rpiA	672
PST_2036	2661
PST_2882	2088
PST_2010	888
PST_2038	819
ldhA	1083
PST_2883	702
PST_3203	402
PST_3202	1539
PST_3201	345
PST_3200	291
PST_3207	717
PST_3206	1053
PST_3205	888
PST_3204	1008
PST_3209	1275
PST_2881	630
nirG	444
crc	780
PST_0890	786
PST_0894	459
PST_0602	2454
PST_2927	258
PST_0603	243
PST_1692	1326
PST_1693	984
PST_1690	549
PST_1691	1308
PST_1696	1353
PST_1697	1323
PST_1694	1164
PST_1695	405
PST_2921	1398
PST_1698	828
PST_1699	1035
PST_2920	945
PST_1450	552
PST_1451	771
PST_1452	726
PST_1453	198
PST_1454	1149
PST_1218	837
PST_1456	888
PST_1457	579
PST_1458	246
PST_1459	2079
PST_0317	681
cysH	735
PST_2326	894
PST_2325	741
pilJ	2049
nlpD	816
PST_2321	1538
PST_2320	77
PST_1731	840
thyA	819
PST_2829	1098
fusA1	2121
PST_2329	1470
PST_1730	519
PST_3337	822
PST_2011	816
PST_3335	792
PST_3333	435
pilO	624
PST_0922	975
pilN	573
PST_2398	1710
PST_3339	672
PST_3338	1461
PST_1634	444
rpoX	309
PST_3969	1962
PST_0679	1452
PST_0678	216
PST_0673	1074
PST_0672	279
PST_0671	1425
PST_0670	393
PST_2014	1416
purA	1203
cysB	975
PST_3229	360
PST_2259	1074
PST_2258	1926
pcaH	720
pcaI	948
pcaJ	783
PST_3228	1488
pcaD	789
pcaF	1206
pcaG	606
PST_2257	1650
PST_2256	1830
pcaB	1362
pcaC	399
PST_3029	642
PST_3028	1149
PST_3023	1350
PST_3022	1047
PST_3021	366
obgE	1218
pcaQ	915
pcaR	843
PST_3024	795
PST_2156	948
tgt	1134
PST_2507	1662
PST_3385	501
PST_3221	399
napE	180
napD	303
napC	597
napB	489
napA	2505
PST_2159	2424
PST_1072	957
PST_1073	405
PST_1070	363
PST_1071	1803
PST_3388	243
PST_1678	77
PST_1679	76
rpoH	855
sppA	984
dnrD	684
add	951
dnrE	690
ureJ	573
dut	456
cydA2	1440
cydA1	1632
PST_1115	588
PST_1114	444
PST_1111	1970
PST_1110	618
PST_1113	819
PST_2645	309
PST_2646	723
rplI	447
PST_2640	516
PST_1118	612
PST_2642	714
PST_0417	888
tdcD	1209
PST_0415	774
PST_2489	912
fur	405
PST_0412	912
PST_0411	756
PST_2482	504
PST_2483	441
PST_2480	516
PST_2481	783
PST_2486	1983
PST_2487	801
PST_0419	801
PST_0418	705
fumC-2	1395
PST_4106	690
PST_4101	744
PST_2410	330
PST_4100	531
glgA	1812
glgB	2379
PST_3689	936
PST_3688	564
PST_3687	1401
gacS	2721
PST_3684	429
PST_3683	1572
nosR	2178
PST_3680	1449
PST_1209	1029
PST_1208	774
ruvB	1053
gacA	630
PST_1202	1032
PST_1205	180
PST_4143	621
PST_1207	714
motA	852
PST_0309	921
PST_0308	762
PST_2281	1188
PST_0303	1212
PST_0302	561
PST_0301	423
PST_0300	1299
PST_0307	819
PST_0306	1011
PST_0305	870
PST_0304	1950
pqqB	912
dsbH	492
pqqF	2532
PST_2798	76
dsbA	630
dsbC	729
PST_2795	1431
PST_2793	831
dsbG	768
PST_2791	498
PST_3607	588
galU	840
purF	1506
mobA	609
ampG	1701
ampD	552
PST_3604	1203
dgt	1497
PST_2823	456
PST_1858	117
PST_3602	525
PST_0246	252
PST_0247	465
PST_0244	1659
PST_0245	651
PST_0242	558
PST_0243	261
purE	465
PST_1848	252
PST_1847	1050
PST_1844	732
PST_3601	591
PST_1842	612
PST_0248	3060
PST_0249	1563
flgC	405
flgB	405
flgA	753
PST_2867	1383
flgG	786
flgF	612
flgE	1317
flgD	681
flgK	2010
flgJ	1161
flgI	1101
flgH	696
PST_2868	477
PST_2869	1671
flgM	330
flgL	1581
PST_4031	480
asd-2	1011
asd-1	1113
ttg2A	816
ttg2B	798
ttg2C	459
ttg2D	648
ttg2E	315
ttg2F	240
minE	258
PST_2413	2355
PST_2899	978
oprQ	1296
phhA	786
PST_2958	1767
PST_4161	1539
PST_4160	753
PST_4167	216
PST_1579	522
PST_4036	1680
PST_2959	1686
mreB	1059
mreC	954
PST_4169	579
phhC	1197
cheW-2	480
mreD	489
PST_2762	708
rpsO	270
PST_4142	441
glmS	1851
nqrD	669
PST_2760	405
PST_2132	222
PST_1748	1068
PST_2131	297
PST_2136	507
PST_2134	531
PST_2135	1113
ptsP	2274
PST_2138	1773
PST_2827	411
PST_2950	726
ychF	1101
apt	549
ptsO	273
ptsN	465
PST_1570	936
PST_2991	408
livG	768
PST_4030	987
PST_2440	1329
dapA	879
PST_2441	1452
grx	255
PST_1474	765
PST_1740	462
PST_4095	438
PST_1475	633
PST_1741	2538
PST_1472	1086
uhpA	630
PST_2957	213
PST_4099	76
PST_2308	426
PST_0938	1992
PST_0939	1770
PST_3600	798
PST_1470	969
PST_0930	405
PST_0931	378
PST_0932	1128
PST_0933	777
proS	1716
PST_0935	786
PST_0936	378
PST_0937	543
PST_2006	3599
PST_2004	972
PST_2005	1803
PST_2002	1023
PST_2003	1002
PST_2000	756
PST_2001	789
phnN	555
proC	786
proB	1119
PST_2008	636
PST_2009	729
PST_3236	777
PST_3237	543
lipC	936
PST_3235	1416
PST_3232	77
PST_3233	900
PST_3230	690
PST_3231	1686
lipH	1008
thrS	1923
bcsA	2598
PST_2303	441
PST_3391	1338
PST_1685	942
PST_1684	579
PST_1687	1779
PST_1686	600
PST_1681	2292
PST_1680	2901
rfbB-2	990
PST_4145	1293
PST_1689	1002
PST_1688	1953
PST_1443	963
PST_1442	1770
PST_1441	480
PST_2319	76
PST_1447	4314
PST_1446	696
PST_1445	816
PST_1444	1296
PST_2312	1995
PST_2313	1014
PST_1449	864
PST_1448	462
PST_2316	1317
PST_2317	423
PST_2314	279
PST_2315	846
parE	2013
PST_3302	2793
PST_3303	297
PST_3300	876
PST_3301	861
iciA	891
PST_3304	309
PST_3305	366
pbpG	1173
PST_3393	321
idh	2229
PST_0642	1473
PST_0643	804
PST_0640	1542
PST_0641	819
PST_0646	474
PST_0647	1977
PST_0644	1539
PST_0645	345
PST_0648	1539
PST_0649	345
PST_3961	396
pabC	822
pabB	1347
PST_2866	1029
aroF-2	1077
aroF-1	1077
PST_2269	915
PST_2266	1239
PST_2267	930
PST_2264	1134
PST_2265	1974
PST_2262	795
PST_2263	765
PST_2260	1020
PST_2261	1686
PST_0669	513
PST_4039	444
PST_3018	855
PST_3017	1056
PST_3012	459
PST_3013	1302
PST_2893	498
xpt	642
rlmL	2178
PST_3585	159
infC	534
infB	2514
infA	219
PST_4173	1236
PST_1068	579
ihfA	303
ihfB	282
PST_1060	1041
fda	1065
dipZ	1797
PST_1663	528
PST_1662	1323
PST_1661	1005
PST_1665	1680
PST_1664	1380
PST_4178	363
PST_4179	987
PST_3731	396
PST_2999	76
PST_0655	651
PST_0654	1659
cydB2	1008
cydB1	1209
PST_1515	912
PST_0429	555
psrA	708
PST_2659	2322
PST_2658	519
PST_0422	915
PST_0423	876
PST_0420	1206
PST_0421	798
PST_0424	762
PST_0425	1344
PST_2499	876
PST_2498	1254
PST_2495	1188
PST_2494	1083
PST_2497	1251
PST_2496	1185
PST_2491	1428
PST_2490	183
PST_2493	2217
PST_2492	366
PST_1514	720
pheA	1098
cafA	1458
nasR	1302
nasS	1449
nasT	627
murI	795
pyrR	516
rnhB	639
rnpA	396
PST_3831	609
PST_3832	1173
nasA	1212
PST_1278	705
PST_1279	366
PST_3836	567
pyrH	744
PST_1274	600
PST_1275	594
PST_1276	825
pyrD	1032
pyrC	1044
PST_1271	1176
PST_1272	495
PST_1273	702
exbD2	408
glpR	759
PST_2680	381
cstA	1677
PST_0332	708
ostA	2823
glpE	330
glpD	1536
PST_2783	2691
glpF	882
PST_2785	339
PST_2784	579
PST_2787	90
PST_2789	1101
PST_2788	876
glpK	1509
fxsA	510
eda	645
arcA-1	1251
arcA-2	1257
PST_0259	1176
PST_0258	759
dapE	1149
PST_3782	468
PST_3783	360
PST_0251	1266
PST_0250	945
PST_0253	1131
PST_0252	1920
PST_0255	1029
PST_0254	330
PST_0257	294
PST_0256	681
PST_1302	333
PST_1303	360
codB	1278
PST_2109	1389
PST_1307	480
PST_1308	924
PST_1309	522
PST_2108	1638
dapD	1035
PST_2876	1902
PST_2875	249
PST_2874	1062
PST_2873	1566
PST_2872	477
PST_2871	1236
PST_2870	1521
katA	1458
katB	1539
katE	2136
PST_2879	192
katG	2232
PST_1898	984
PST_1899	858
PST_1890	1533
PST_1891	1239
PST_1895	363
PST_1897	444
ureF-2	594
PST_0219	948
PST_3658	756
PST_4157	768
PST_4154	426
tmk	633
PST_4150	1086
PST_4151	198
PST_3650	2190
PST_4109	948
PST_2276	2298
PST_3654	894
PST_4158	1071
PST_3657	2157
PST_3995	618
PST_3163	942
PST_3160	1323
PST_2125	300
PST_2124	936
PST_2127	1476
PST_2126	1050
PST_2121	204
PST_2120	2139
PST_2123	1455
PST_2122	900
PST_4108	225
PST_2128	1014
PST_3167	456
PST_3994	1566
birA	948
PST_3211	1683
fdxN	279
folP	852
fdxA	324
folX	375
folE	546
folD	855
PST_3002	327
folA	741
folC	1215
folK	552
rpoS	999
PST_2018	2505
PST_0929	1056
PST_0928	1080
PST_3457	1017
PST_0923	645
rpoZ	264
PST_0921	564
PST_0920	1296
PST_0927	1239
PST_0926	2202
PST_0925	987
PST_0924	513
rpoC	4200
rpoB	4071
rpoA	1002
kdtA	1269
dnrN	864
rpoD	1710
fdx2	339
PST_3220	1182
PST_3223	603
PST_3222	1086
PST_3225	1500
rpoN	1374
PST_3227	3252
PST_3226	399
bglX	2292
tatA-1	198
PST_4024	828
PST_3365	2193
clpP	621
PST_3367	804
cti	2277
rpsG	471
rpsF	417
rpsE	501
rpsD	621
rpsC	687
rpsB	741
rpsA	1749
nqrE	609
rpsN	306
rpsM	357
rpsL	372
rpsK	390
rpsJ	312
rpsI	393
rpsH	393
PST_1476	492
PST_1477	651
rpsU	216
rpsT	279
rpsS	276
PST_1473	2352
rpsQ	267
rpsP	252
nqrF	1224
PST_2307	1167
PST_1478	1659
PST_1479	1251
omlA	606
PST_3386	273
dbpA	1539
PST_3314	86
PST_4086	747
PST_3313	77
PST_3312	549
ccoQ-2	189
nqrA	1311
phoQ	1461
phoP	678
PST_0657	525
phoR	1302
PST_0651	603
PST_0650	1017
PST_0653	312
PST_0652	228
thiS	258
ftsY	1434
PST_0659	420
PST_0658	1506
PST_1783	603
PST_3508	156
anmK	1071
thiI	1560
phoB	690
PST_4209	2310
thiL	963
thiC	1884
prlC	2223
thiG	795
thiE	642
thiD	864
PST_1090	534
PST_2273	1317
PST_2272	654
PST_2275	486
PST_2274	384
PST_2277	660
PST_1091	399
PST_2279	642
PST_2278	1263
PST_2417	279
PST_3001	1203
PST_3000	444
nqrC	795
PST_1093	1344
uraA	1260
PST_3009	675
PST_1094	519
PST_1095	1023
lamB	1404
PST_4029	1203
narX	1977
PST_1097	495
ligB	1794
narM	1488
PST_0628	771
tag	558
narI	792
narH	1539
narK	1602
narJ	756
PST_1098	588
PST_1099	912
narG	3759
benR	954
atpB	873
PST_1658	1263
PST_1659	483
rodA	1146
PST_1657	300
PST_1655	267
PST_1652	825
PST_1653	780
PST_1650	282
purN	648
benA	1251
gcp	1140
benC	1011
benB	489
benE	1224
benD	777
benF	1263
benK	1347
exbD1	402
ttgR	642
PST_1428	912
PST_2662	1707
paaC	1524
PST_2660	570
PST_2661	1017
PST_2666	1335
PST_2667	540
PST_2664	597
PST_2665	234
PST_0435	2181
PST_0436	1704
lpd3	2121
PST_2460	318
PST_2461	1389
PST_2462	822
PST_2463	831
PST_2464	282
PST_2465	2208
PST_2466	450
PST_2468	588
PST_2469	420
plsB	2559
PST_2037	1284
lpdG	1437
accC-2	1677
gcl	1782
PST_3823	1371
PST_3822	888
PST_3821	810
PST_3820	1176
PST_3827	1356
PST_3826	888
PST_3824	267
ruvA	606
ruvC	525
PST_1264	210
PST_1263	1095
PST_2309	630
PST_1261	693
PST_1260	74
PST_0321	450
PST_0320	498
PST_0322	402
PST_0325	603
PST_0326	255
tsf	864
PST_0328	426
mutL	1878
mutM	813
mutS	2676
mutY	1068
PST_3798	1524
panE-2	912
panE-1	957
PST_3791	1674
PST_3790	597
PST_3792	642
PST_3795	1074
PST_3794	807
modA	753
modB	681
modC	1098
PST_0228	915
PST_0229	249
PST_0224	1776
PST_0225	909
PST_0226	1218
PST_0227	615
PST_0220	1431
PST_0221	1992
PST_0222	939
PST_0223	1485
PST_1865	309
PST_1864	822
PST_2848	471
PST_1310	828
PST_1861	768
PST_1860	279
PST_1863	1356
PST_1862	345
fleQ	1515
nadB	1731
fleS	1188
fleR	1221
PST_1869	420
PST_1868	519
nadE	828
PST_2845	531
PST_2689	810
fleN	828
PST_1506	1104
PST_2681	297
PST_1855	3489
PST_2683	429
PST_2684	1308
PST_2686	423
PST_2687	1131
uxuB	1623
PST_1889	1626
PST_1888	471
waaG	1122
waaF	1098
rplX	315
rplV	333
rplW	300
PST_1881	726
rplU	462
rplR	297
rplS	351
rplP	414
rplQ	390
rplN	369
rplO	435
rplL	369
rplM	429
rplJ	501
rplK	432
gltR	735
rplF	534
rplD	603
rplE	540
rplB	822
rplC	636
PST_4147	447
rplA	696
metR	927
trkH	1533
mazG	705
PST_0134	1404
metW	600
PST_0136	930
PST_0137	861
PST_0138	1173
PST_0139	519
rep	1977
metY	1278
PST_3647	1059
PST_3644	321
mrcB	2313
metF	852
metG	2079
metE	2316
metK	1191
metH	3693
PST_3745	2238
metN	1065
phhB	357
PST_3661	156
PST_3660	87
PST_3662	87
uppS	846
PST_2663	2697
PST_0111	1566
arcC-2	930
gidA	1893
PST_3981	1338
PST_3588	405
PST_0296	1926
PST_2068	1146
PST_2069	294
PST_0918	2154
PST_0916	720
PST_0917	408
PST_2066	1458
PST_0915	678
PST_0912	1239
pgk	1254
PST_0910	1464
PST_0911	690
cyoE-1	900
adhA	984
PST_3259	471
potI	903
potH	897
potG	1152
PST_3987	1929
PST_3250	76
PST_3251	77
PST_3252	1538
PST_3253	624
prmA	963
PST_3493	864
PST_3496	714
PST_3497	1470
PST_3494	1629
PST_2838	372
ahpC	564
PST_3194	1062
PST_1469	1323
PST_1468	1305
PST_1512	2418
PST_1461	429
PST_1460	1008
PST_1463	76
PST_1462	759
PST_1465	201
PST_1009	1077
PST_1466	648
PST_1008	426
PST_3341	444
xylB	1524
dnaQ	726
ahpF-1	1563
ahpF-2	1563
dnaX	2064
dnaA	1545
hmpA	1308
dnaB	1266
dnaE	3396
dnaG	1953
dnaK	1914
PST_2834	1197
dnaN	1104
pctA	1878
PST_1797	1956
PST_1007	357
PST_1795	546
PST_1794	315
