chr	locus_id	gene_names	dir	tss_bp	tss_pos_to_atg
DH10B	ECDH10B_3894	tnaC	+	3984019	-23
DH10B	ECDH10B_0807	tolB	+	829515	-40
DH10B	ECDH10B_0805	tolR	+	827412	-252
DH10B	ECDH10B_1367	tonB	+	1398477	-32
DH10B	ECDH10B_1389	topA	+	1418401	-67
DH10B	ECDH10B_1901	topB	-	1935570	-15
DH10B	ECDH10B_4108	tpiA	-	4209289	-62
DH10B	ECDH10B_1443	tpx	-	1476265	-34
DH10B	ECDH10B_4435	treB	-	4566038	-27
DH10B	ECDH10B_4038	trkH	+	4130058	-30
DH10B	ECDH10B_3135	trmI	-	3195956	-13
DH10B	ECDH10B_1381	trpH	+	1410611	-29
DH10B	ECDH10B_4551	trpR	+	4676955	-290
DH10B	ECDH10B_3559	trpS	-	3609464	-59
DH10B	ECDH10B_0958	trxB	-	985228	-27
DH10B	ECDH10B_0367	tsx	-	370645	-77
DH10B	ECDH10B_1771	tyrS	-	1806126	-309
DH10B	ECDH10B_1291	tyrT	-	1327173	-87
DH10B	ECDH10B_4165	tyrU	+	4273106	-85
DH10B	ECDH10B_0731	ubiF	+	746892	-24
DH10B	ECDH10B_2591	ucpA	-	2634451	-41
DH10B	ECDH10B_4022	udp	+	4113339	-35
DH10B	ECDH10B_2176	ugd	-	2188997	-352
DH10B	ECDH10B_3852	uhpA	-	3946357	-24
DH10B	ECDH10B_1751	uidR	-	1786059	-22
DH10B	ECDH10B_2664	upp	-	2710692	-33
DH10B	ECDH10B_3671	uspA	+	3735754	-125
DH10B	ECDH10B_3670	uspB	-	3735766	-278
DH10B	ECDH10B_1453	uspE	-	1486079	-37
DH10B	ECDH10B_0811	valT	+	832575	-5
DH10B	ECDH10B_1799	valV	+	1835012	-18
DH10B	ECDH10B_1076	wrbA	-	1120909	-50
DH10B	ECDH10B_3974	wzzE	+	4065807	-167
DH10B	ECDH10B_0102	yacC	-	111079	-58
DH10B	ECDH10B_0109	yadI	+	118202	-479
DH10B	ECDH10B_0205	yafJ	+	218186	-245
DH10B	ECDH10B_0201	yafV	-	214319	-26
DH10B	ECDH10B_0259	yagI	-	263964	-28
DH10B	ECDH10B_0348	yaiE	+	346706	-26
DH10B	ECDH10B_0363	yajC	+	365759	-83
DH10B	ECDH10B_0366	yajD	+	368618	-542
DH10B	ECDH10B_0375	yajO	-	376717	-27
DH10B	ECDH10B_0383	yajR	-	385239	-18
DH10B	ECDH10B_0434	ybaL	-	441846	-53
DH10B	ECDH10B_0422	ybaM	-	429263	-437
DH10B	ECDH10B_0424	ybaN	+	429414	-23
DH10B	ECDH10B_0443	ybaT	+	451114	-17
DH10B	ECDH10B_0409	ybaY	+	413861	-73
DH10B	ECDH10B_0484	ybcJ	-	495910	-482
DH10B	ECDH10B_0643	ybdG	-	656498	-20
DH10B	ECDH10B_0706	ybeB	-	720887	-36
DH10B	ECDH10B_0712	ybeL	+	726812	-21
DH10B	ECDH10B_0778	ybgJ	+	795359	-49
DH10B	ECDH10B_0820	ybgS	-	837277	-145
DH10B	ECDH10B_0848	ybhK	-	869818	-20
DH10B	ECDH10B_0854	ybhL	+	873009	-26
DH10B	ECDH10B_0869	ybiC	+	889469	-33
DH10B	ECDH10B_0864	ybiH	-	883818	-24
DH10B	ECDH10B_0888	ybiS	-	908939	-44
DH10B	ECDH10B_0891	ybiV	-	913205	-26
DH10B	ECDH10B_0910	ybjG	-	936586	-47
DH10B	ECDH10B_0918	ybjM	+	943039	-201
DH10B	ECDH10B_0923	ybjN	+	946081	-27
DH10B	ECDH10B_0935	ybjP	-	957664	-46
DH10B	ECDH10B_0989	ycbJ	+	1024862	-41
DH10B	ECDH10B_0996	ycbK	+	1036174	-52
DH10B	ECDH10B_1016	ycbW	+	1059003	-100
DH10B	ECDH10B_1025	ycbZ	-	1071478	-28
DH10B	ECDH10B_1040	yccA	-	1084599	-30
DH10B	ECDH10B_1075	yccJ	-	1120530	-288
DH10B	ECDH10B_1064	yccM	-	1106546	-33
DH10B	ECDH10B_1106	ycdX	+	1153499	-48
DH10B	ECDH10B_1108	ycdZ	+	1154964	0
DH10B	ECDH10B_1126	yceA	+	1171441	-34
DH10B	ECDH10B_1160	yceD	+	1201317	-145
DH10B	ECDH10B_1138	yceH	+	1180820	-5
DH10B	ECDH10B_1172	ycfH	+	1211304	-141
DH10B	ECDH10B_1241	ycgB	-	1277034	-329
DH10B	ECDH10B_1267	ychA	+	1306647	-137
DH10B	ECDH10B_1256	ychF	-	1297335	-59
DH10B	ECDH10B_1258	ychH	+	1298202	-53
DH10B	ECDH10B_1287	ychS	+	1325733	-440
DH10B	ECDH10B_1369	yciB	-	1400774	-464
DH10B	ECDH10B_1396	yciS	+	1427608	-55
DH10B	ECDH10B_1532	ydbC	+	1562808	-32
DH10B	ECDH10B_1503	ydbJ	+	1529642	-35
DH10B	ECDH10B_1670	ydfG	+	1715140	-26
DH10B	ECDH10B_1671	ydfH	+	1715542	-459
DH10B	ECDH10B_1740	ydgC	-	1771126	-111
DH10B	ECDH10B_1757	ydgJ	-	1793316	-23
DH10B	ECDH10B_1781	ydhF	-	1814250	-23
DH10B	ECDH10B_1789	ydhO	+	1822646	-384
DH10B	ECDH10B_1918	yeaD	+	1952414	-31
DH10B	ECDH10B_1925	yeaK	+	1962143	-26
DH10B	ECDH10B_1945	yeaZ	-	1979887	-25
DH10B	ECDH10B_1988	yebF	-	2019022	-25
DH10B	ECDH10B_1972	yebS	+	2004830	-23
DH10B	ECDH10B_1973	yebT	+	2006060	-45
DH10B	ECDH10B_2045	yecR	+	2077229	-25
DH10B	ECDH10B_2155	yeeA	-	2169717	-94
DH10B	ECDH10B_2279	yehS	-	2301254	-28
DH10B	ECDH10B_2281	yehU	-	2303697	-23
DH10B	ECDH10B_2304	yeiA	+	2324114	-181
DH10B	ECDH10B_2329	yeiP	+	2354309	-151
DH10B	ECDH10B_2452	yfbQ	+	2497298	-50
DH10B	ECDH10B_2455	yfbT	-	2501908	-32
DH10B	ECDH10B_2456	yfbU	-	2502411	-30
DH10B	ECDH10B_2457	yfbV	-	2503230	-311
DH10B	ECDH10B_2462	yfcE	-	2509595	-20
DH10B	ECDH10B_2488	yfcM	-	2534731	-193
DH10B	ECDH10B_2493	yfcN	+	2538369	-24
DH10B	ECDH10B_2506	yfcZ	-	2550766	-45
DH10B	ECDH10B_2559	yfeA	-	2607665	-46
DH10B	ECDH10B_2597	yfeY	-	2641264	-261
DH10B	ECDH10B_2728	yfhB	-	2788380	-43
DH10B	ECDH10B_2722	yfhG	-	2779460	-167
DH10B	ECDH10B_2686	yfhM	-	2742112	-38
DH10B	ECDH10B_2754	yfiM	+	2813928	-38
DH10B	ECDH10B_2752	yfiQ	+	2809718	-22
DH10B	ECDH10B_2779	yfjD	+	2838504	-57
DH10B	ECDH10B_2868	ygaD	-	2915113	-203
DH10B	ECDH10B_2850	ygaH	+	2900553	-355
DH10B	ECDH10B_2832	ygaU	-	2886599	-26
DH10B	ECDH10B_2849	ygaZ	+	2900133	-48
DH10B	ECDH10B_2944	ygcF	-	2996005	-23
DH10B	ECDH10B_2979	ygdI	-	3035106	-69
DH10B	ECDH10B_3002	ygdQ	+	3062286	-26
DH10B	ECDH10B_3012	ygeA	-	3072543	-16
DH10B	ECDH10B_3044	ygeV	-	3097740	-62
DH10B	ECDH10B_3086	ygfA	+	3148087	-46
DH10B	ECDH10B_3071	ygfY	-	3132991	-29
DH10B	ECDH10B_3072	ygfZ	+	3133174	-31
DH10B	ECDH10B_3111	yggG	+	3174937	-67
DH10B	ECDH10B_3134	yggL	-	3195480	-256
DH10B	ECDH10B_3131	yggM	-	3192946	-290
DH10B	ECDH10B_3128	yggU	+	3189168	-306
DH10B	ECDH10B_3137	yggX	+	3197004	-180
DH10B	ECDH10B_3178	yghZ	+	3243629	-35
DH10B	ECDH10B_3234	ygiH	+	3300423	-38
DH10B	ECDH10B_3203	ygiN	+	3268846	-63
DH10B	ECDH10B_3198	ygiW	-	3265477	-34
DH10B	ECDH10B_3279	yhaH	+	3348030	-41
DH10B	ECDH10B_3281	yhaJ	-	3350000	-19
DH10B	ECDH10B_3285	yhaO	-	3353873	-159
DH10B	ECDH10B_3379	yhbJ	+	3442779	-103
DH10B	ECDH10B_3327	yhbP	-	3395740	-58
DH10B	ECDH10B_3330	yhbT	-	3397068	-25
DH10B	ECDH10B_3410	yhcB	+	3475893	-65
DH10B	ECDH10B_3386	yhcC	-	3450289	-472
DH10B	ECDH10B_3520	yheN	-	3571487	-2
DH10B	ECDH10B_3521	yheO	-	3572274	-67
DH10B	ECDH10B_3528	yheS	+	3576985	-71
DH10B	ECDH10B_3534	yhfK	+	3582326	-232
DH10B	ECDH10B_3577	yhgE	-	3628447	-241
DH10B	ECDH10B_3633	yhhK	+	3693726	-26
DH10B	ECDH10B_3675	yhiR	+	3741094	-59
DH10B	ECDH10B_3700	yhjE	+	3770528	-26
DH10B	ECDH10B_3701	yhjG	-	3774300	-167
DH10B	ECDH10B_3704	yhjJ	-	3777868	-160
DH10B	ECDH10B_3706	yhjK	-	3781574	-227
DH10B	ECDH10B_3712	yhjR	-	3791992	-39
DH10B	ECDH10B_3731	yiaD	+	3812105	-42
DH10B	ECDH10B_3733	yiaF	-	3814720	-76
DH10B	ECDH10B_3793	yibN	-	3880647	-32
DH10B	ECDH10B_3826	yicC	+	3912249	-28
DH10B	ECDH10B_3836	yicE	+	3924528	-24
DH10B	ECDH10B_3837	yicH	+	3926038	-26
DH10B	ECDH10B_3846	yicN	-	3938027	-18
DH10B	ECDH10B_3883	yidA	-	3972583	-24
DH10B	ECDH10B_3892	yidC	+	3980473	-210
DH10B	ECDH10B_3857	yidF	-	3951230	-12
DH10B	ECDH10B_3898	yidZ	+	3988326	-46
DH10B	ECDH10B_3901	yieG	-	3992282	-66
DH10B	ECDH10B_3944	yieP	-	4038679	-409
DH10B	ECDH10B_3985	yifK	+	4077766	-64
DH10B	ECDH10B_4000	yifL	+	4091362	-103
DH10B	ECDH10B_4004	yigB	+	4094066	-60
DH10B	ECDH10B_4037	yigZ	+	4129409	-26
DH10B	ECDH10B_4051	yihG	-	4143569	-24
DH10B	ECDH10B_4073	yihV	+	4171434	-25
DH10B	ECDH10B_4142	yijO	-	4246236	-199
DH10B	ECDH10B_4209	yjbB	+	4325322	-128
DH10B	ECDH10B_4269	yjcO	-	4395534	-24
DH10B	ECDH10B_4334	yjeH	-	4468841	-44
DH10B	ECDH10B_4337	yjeI	+	4471146	-48
DH10B	ECDH10B_4361	yjeS	-	4492474	-22
DH10B	ECDH10B_4394	yjfY	-	4523410	-234
DH10B	ECDH10B_4552	yjjX	-	4678256	-26
DH10B	ECDH10B_4524	yjjZ	+	4650150	-139
DH10B	ECDH10B_0414	ylaC	-	417840	-34
DH10B	ECDH10B_0907	yliJ	-	933669	-38
DH10B	ECDH10B_1578	yncA	-	1607492	-27
DH10B	ECDH10B_1579	yncB	+	1607618	-28
DH10B	ECDH10B_1581	yncD	-	1611802	-118
DH10B	ECDH10B_1584	yncG	+	1614844	-22
DH10B	ECDH10B_1715	ynfA	-	1744687	-29
DH10B	ECDH10B_1812	ynhG	-	1847459	-139
DH10B	ECDH10B_1891	ynjA	+	1923906	-204
DH10B	ECDH10B_1947	yoaB	+	1981944	-18
DH10B	ECDH10B_1954	yoaE	-	1990541	-361
DH10B	ECDH10B_1931	yoaF	-	1966151	-24
DH10B	ECDH10B_1958	yobD	+	1992818	-578
DH10B	ECDH10B_1962	yobF	-	1996211	-25
DH10B	ECDH10B_2293	yohF	-	2316326	-26
DH10B	ECDH10B_2298	yohJ	+	2319633	-21
DH10B	ECDH10B_2368	yojI	-	2397634	-9
DH10B	ECDH10B_2545	ypdA	+	2588434	-24
DH10B	ECDH10B_2555	ypeC	+	2600320	-468
DH10B	ECDH10B_2639	ypfH	-	2683576	-19
DH10B	ECDH10B_2958	yqcA	-	3014927	-43
DH10B	ECDH10B_3016	yqeF	-	3077505	-21
DH10B	ECDH10B_3179	yqhA	-	3245263	-25
DH10B	ECDH10B_3205	yqiA	-	3272135	-362
DH10B	ECDH10B_3271	yqjA	+	3343522	-18
DH10B	ECDH10B_3273	yqjC	+	3344322	-414
DH10B	ECDH10B_3245	yqjH	-	3312526	-268
DH10B	ECDH10B_3276	yqjK	+	3345701	-143
DH10B	ECDH10B_3320	yraM	+	3389037	-130
DH10B	ECDH10B_3364	yrbA	-	3432599	-29
DH10B	ECDH10B_3370	yrbG	+	3435980	-62
DH10B	ECDH10B_4407	ytfH	+	4532468	-30
DH10B	ECDH10B_3084	zapA	+	3147385	-119
DH10B	ECDH10B_1998	znuA	-	2031207	-29
DH10B	ECDH10B_4192	zraS	+	4299614	-31
DH10B	ECDH10B_3214	zupT	+	3278311	-6
DH10B	ECDH10B_4235	zur	-	4357750	-28
DH10B	ECDH10B_1993	zwf	-	2024963	-54
