gene_name	EcoliMG1655_LBWB_1	EcoliMG1655_LBWB_2	EcoliMG1655_synnifI4_1	EcoliMG1655_synnifI4_2	N1	N2
ddpA_locusTag_b1487	291	108	1422	266	26	307
ddpB_locusTag_b1486	64	36	539	108	0	55
ddpC_locusTag_b1485	73	37	366	79	0	44
ddpD_locusTag_b1484	101	83	696	116	0	22
ddpF_locusTag_b1483	153	121	845	148	0	61
ddpX_locusTag_b1488	185	45	701	90	69	179
deaD_locusTag_b3162	10874	4895	9481	5374	1326	10730
dedA_locusTag_b2317	418	263	1107	284	44	482
dedD_locusTag_b2314	877	359	1000	375	16	300
def_locusTag_b3287	837	347	1575	437	28	421
degP_locusTag_b0161	509	236	500	319	53	223
degQ_locusTag_b3234	346	127	739	278	34	376
degS_locusTag_b3235	315	67	335	177	0	126
deoA_locusTag_b4382	169	95	774	467	2	149
deoB_locusTag_b4383	889	393	3760	1520	55	1104
deoC_locusTag_b4381	94	77	963	381	7	92
deoD_locusTag_b4384	525	244	1045	346	27	168
deoR_locusTag_b0840	443	204	275	152	9	96
der_locusTag_b2511	989	553	2202	1382	97	664
dfp_locusTag_b3639	488	136	636	279	14	208
dgcZ_locusTag_b1535	326	69	616	321	20	77
dgkA_locusTag_b4042	188	48	211	101	0	74
dgoA_locusTag_b4477	8	5	18	0	5	2
dgoD_locusTag_b4478	42	0	43	59	0	8
dgoK_locusTag_b3693	52	65	100	0	4	29
dgoR_locusTag_b4479	24	30	78	75	0	39
dgoT_locusTag_b3691	34	29	32	0	3	15
dgt_locusTag_b0160	202	123	339	148	33	209
dhaK_locusTag_b1200	678	352	374	129	37	309
dhaL_locusTag_b1199	375	236	145	74	15	211
dhaM_locusTag_b1198	1657	441	649	326	85	366
dhaR_locusTag_b1201	239	204	465	177	47	118
diaA_locusTag_b3149	254	40	305	101	10	112
dicA_locusTag_b1570	629	211	562	252	30	165
dicB_locusTag_b1575	0	0	0	0	0	0
dicC_locusTag_b1569	0	0	0	0	0	0
dicF_locusTag_b1574	16	0	8	20	0	8
dinB_locusTag_b0231	117	82	208	62	29	413
dinD_locusTag_b3645	161	36	301	100	0	271
dinF_locusTag_b4044	303	136	187	112	16	111
dinG_locusTag_b0799	982	416	675	364	39	594
dinI_locusTag_b1061	154	36	122	143	47	356
dinJ_locusTag_b0226	466	183	375	143	46	841
dinQ_locusTag_b4613	663	437	1406	514	120	582
djlA_locusTag_b0055	515	190	488	329	7	120
djlB_locusTag_b0646	27	14	36	0	0	0
djlC_locusTag_b0649	69	52	53	73	12	35
dkgA_locusTag_b3012	1953	883	3754	1852	240	8442
dkgB_locusTag_b0207	70	6	104	25	0	132
dksA_locusTag_b0145	1289	658	4367	3045	66	658
dld_locusTag_b2133	1544	513	2704	1518	63	754
dmlA_locusTag_b1800	9	0	116	14	5	27
dmlR_locusTag_b1799	211	32	244	91	0	44
dmsA_locusTag_b0894	723	551	1257	478	85	1474
dmsB_locusTag_b0895	50	71	405	132	3	227
dmsC_locusTag_b0896	258	117	711	508	69	494
dmsD_locusTag_b1591	375	180	387	289	51	152
dnaA_locusTag_b3702	2679	1321	6913	3363	47	1086
dnaB_locusTag_b4052	907	391	859	397	5	103
dnaC_locusTag_b4361	117	81	318	386	0	154
dnaE_locusTag_b0184	1814	894	2769	1459	29	272
dnaG_locusTag_b3066	2090	740	2550	1524	56	542
dnaJ_locusTag_b0015	3320	1026	1652	765	138	2365
dnaK_locusTag_b0014	12971	5481	4725	2618	324	9837
dnaN_locusTag_b3701	1014	505	2568	1152	7	467
dnaQ_locusTag_b0215	728	210	870	369	14	394
dnaT_locusTag_b4362	106	69	284	114	0	165
dnaX_locusTag_b0470	2158	729	2921	1325	72	867
dosC_locusTag_b1490	37	35	474	278	0	87
dosP_locusTag_b1489	124	54	591	246	2	79
dppA_locusTag_b3544	11486	4746	11272	3563	148	3373
dppB_locusTag_b3543	1033	286	1351	423	13	210
dppC_locusTag_b3542	644	375	464	91	0	112
dppD_locusTag_b3541	775	355	965	325	0	140
dppF_locusTag_b3540	1289	486	1056	303	0	142
dps_locusTag_b0812	1612	505	18364	10244	133	779
dsbA_locusTag_b3860	364	212	498	370	42	173
dsbB_locusTag_b1185	306	133	268	107	34	100
dsbC_locusTag_b2893	355	222	504	330	15	100
dsbD_locusTag_b4136	611	212	1002	424	36	115
dsbE_locusTag_b2195	14	28	30	18	0	7
dsbG_locusTag_b0604	161	147	330	162	0	61
dsdA_locusTag_b2366	58	49	252	164	11	95
dsdC_locusTag_b2364	92	15	47	22	0	10
dsdX_locusTag_b2365	16	0	42	0	0	40
dsrA_locusTag_b1954	0	0	0	0	0	0
dsrB_locusTag_b1952	108	89	288	148	11	36
dtd_locusTag_b3887	43	10	182	54	0	77
dtpA_locusTag_b1634	2635	875	519	309	89	417
dtpB_locusTag_b3496	123	55	724	319	23	104
dtpC_locusTag_b4130	136	16	71	45	7	52
dtpD_locusTag_b0709	1568	677	536	528	0	186
dusA_locusTag_b4049	605	243	602	458	35	135
dusB_locusTag_b3260	3607	1355	3493	1602	49	906
dusC_locusTag_b2140	32	0	118	41	5	20
dut_locusTag_b3640	228	77	315	233	10	105
dxr_locusTag_b0173	644	281	1149	475	7	249
dxs_locusTag_b0420	1562	787	1450	706	21	303
eaeH_locusTag_b0297	0	11	0	0	0	6
eamA_locusTag_b1533	135	42	270	97	8	58
eamB_locusTag_b2578	5	16	45	48	0	2
ebgA_locusTag_b3076	10	23	63	4	0	1
ebgC_locusTag_b3077	0	0	0	0	0	0
ebgR_locusTag_b3075	176	114	330	179	0	63
ecnA_locusTag_b4410	16	0	9	0	0	11
ecnB_locusTag_b4411	393	87	2227	1298	0	25
eco_locusTag_b2209	332	128	341	147	0	81
ecpA_locusTag_b0293	133	6	99	58	0	47
ecpB_locusTag_b0292	34	0	84	12	0	0
ecpC_locusTag_b0291	72	22	83	26	0	12
ecpD_locusTag_b0290	121	9	144	54	3	89
ecpE_locusTag_b0289	85	20	177	94	0	12
ecpR_locusTag_b0294	14	29	31	0	0	0
eda_locusTag_b1850	272	166	922	333	35	358
edd_locusTag_b1851	316	110	309	253	23	876
efeB_locusTag_b1019	70	8	89	34	9	30
efeO_locusTag_b1018	27	15	20	6	0	18
efeU_locusTag_b4490	102	15	60	48	9	13
efp_locusTag_b4147	1285	390	1534	764	27	257
elaA_locusTag_b2267	108	55	274	191	10	74
elaB_locusTag_b2266	964	413	8910	5994	37	202
elaD_locusTag_b2269	77	12	20	0	0	5
elbB_locusTag_b3209	257	64	241	181	0	73
elfA_locusTag_b0938	33	0	10	32	0	12
elfC_locusTag_b0940	23	0	37	21	4	45
elfD_locusTag_b0939	0	0	0	0	0	0
elfG_locusTag_b0941	44	46	31	13	3	32
emrA_locusTag_b2685	173	115	199	120	3	104
emrB_locusTag_b2686	136	32	190	62	0	54
emrD_locusTag_b3673	0	5	60	0	3	5
emrE_locusTag_b0543	50	24	75	18	9	27
emrK_locusTag_b2368	20	0	30	20	0	4
emrY_locusTag_b2367	29	2	12	7	9	7
emtA_locusTag_b1193	446	192	421	162	11	43
endA_locusTag_b2945	42	29	15	44	1	9
eno_locusTag_b2779	9699	3963	27212	14093	523	7189
entA_locusTag_b0596	77	21	9	7	0	9
entB_locusTag_b0595	60	33	10	12	0	0
entC_locusTag_b0593	109	65	9	18	0	0
entD_locusTag_b0583	32	83	23	36	1	2
entE_locusTag_b0594	179	111	36	37	0	0
entF_locusTag_b0586	305	114	113	40	1	33
entH_locusTag_b0597	119	18	22	49	9	0
entS_locusTag_b0591	82	31	16	14	8	0
envC_locusTag_b3613	1056	348	1443	652	36	231
envY_locusTag_b0566	33	0	16	24	5	11
envZ_locusTag_b3404	439	177	1101	590	0	103
epd_locusTag_b2927	1181	336	881	378	16	492
epmA_locusTag_b4155	256	87	435	210	21	52
epmB_locusTag_b4146	493	360	993	392	0	311
epmC_locusTag_b2326	222	99	220	201	0	8
eptA_locusTag_b4114	19	0	9	0	0	20
eptB_locusTag_b3546	1044	462	638	344	14	416
eptC_locusTag_b3955	1004	363	656	236	0	141
era_locusTag_b2566	1139	415	1630	525	48	448
erpA_locusTag_b0156	358	213	606	304	62	388
esrE_locusTag_b4707	0	0	0	0	0	0
essD_locusTag_b0554	2	20	12	37	0	1
essQ_locusTag_b1556	0	0	0	0	0	6
etk_locusTag_b0981	252	134	291	287	19	108
etp_locusTag_b0982	0	0	0	4	0	0
eutA_locusTag_b2451	9	0	38	2	0	7
eutB_locusTag_b2441	27	3	155	15	7	31
eutC_locusTag_b2440	115	19	59	14	2	35
eutD_locusTag_b2458	0	2	51	0	0	0
eutE_locusTag_b2455	0	0	16	1	0	2
eutG_locusTag_b2453	0	0	8	0	0	2
eutH_locusTag_b2452	4	0	11	25	0	6
eutJ_locusTag_b2454	15	0	7	0	4	0
eutK_locusTag_b2438	23	0	9	6	2	5
eutL_locusTag_b2439	37	6	34	47	2	44
eutM_locusTag_b2457	10	0	26	9	0	6
eutN_locusTag_b2456	9	0	0	0	0	0
eutP_locusTag_b2461	0	0	9	26	0	0
eutQ_locusTag_b2460	3	0	26	0	0	0
eutR_locusTag_b2437	78	18	109	69	10	57
eutS_locusTag_b2462	0	0	33	0	0	0
eutT_locusTag_b2459	0	0	28	0	0	0
evgA_locusTag_b2369	1613	633	1125	694	38	730
evgS_locusTag_b2370	7272	2769	2157	784	16	379
exbB_locusTag_b3006	912	382	356	276	15	141
exbD_locusTag_b3005	631	295	122	19	0	36
exoD_locusTag_b0539	0	11	9	0	0	0
exoX_locusTag_b1844	709	207	739	274	26	245
exuR_locusTag_b3094	383	170	1025	366	104	834
exuT_locusTag_b3093	41	33	308	148	0	68
eyeA_locusTag_b4690	65	17	86	5	0	13
fabA_locusTag_b0954	2177	845	1251	749	113	472
fabB_locusTag_b2323	11835	4077	5834	2702	590	4791
fabD_locusTag_b1092	2169	782	2733	1620	92	512
fabF_locusTag_b1095	6231	1977	5843	2768	184	1497
fabG_locusTag_b1093	3230	1194	5271	2651	100	581
fabH_locusTag_b1091	903	548	1535	808	32	186
fabI_locusTag_b1288	2121	662	3797	1596	118	878
fabR_locusTag_b3963	495	199	859	434	51	144
fabZ_locusTag_b0180	731	293	1121	540	17	223
fadA_locusTag_b3845	22	12	61	80	15	25
fadB_locusTag_b3846	30	0	28	0	0	8
fadD_locusTag_b1805	182	43	247	150	2	77
fadE_locusTag_b0221	207	9	241	82	0	108
fadH_locusTag_b3081	7	0	8	47	0	10
fadI_locusTag_b2342	71	26	104	40	2	40
fadJ_locusTag_b2341	158	51	161	71	0	47
fadK_locusTag_b1701	14	18	29	25	0	24
fadL_locusTag_b2344	54	30	118	81	0	33
fadM_locusTag_b0443	82	93	297	142	0	80
fadR_locusTag_b1187	662	344	757	410	5	324
fau_locusTag_b2912	460	249	558	289	10	335
fbaA_locusTag_b2925	4219	1836	13393	5628	228	2225
fbaB_locusTag_b2097	881	340	6733	3363	0	150
fbp_locusTag_b4232	374	170	887	476	0	184
fdhD_locusTag_b3895	228	40	443	270	0	25
fdhE_locusTag_b3891	439	129	530	110	41	383
fdhF_locusTag_b4079	2442	726	3345	2022	214	1542
fdnG_locusTag_b1474	346	214	273	188	0	73
fdnH_locusTag_b1475	84	0	4	26	0	7
fdnI_locusTag_b1476	96	63	45	16	3	8
fdoG_locusTag_b3894	205	124	3148	783	5	22
fdoH_locusTag_b3893	37	22	51	47	0	26
fdoI_locusTag_b3892	38	0	69	10	1	15
fdrA_locusTag_b0518	0	0	0	0	0	0
fdx_locusTag_b2525	110	23	75	13	2	50
feaB_locusTag_b1385	69	15	131	98	12	41
feaR_locusTag_b1384	25	11	289	112	0	0
fecA_locusTag_b4291	297	92	98	7	0	30
fecB_locusTag_b4290	109	77	72	80	9	43
fecC_locusTag_b4289	81	0	6	0	0	12
fecD_locusTag_b4288	27	20	1	23	0	0
fecE_locusTag_b4287	79	28	71	76	0	30
fecI_locusTag_b4293	85	59	11	9	0	0
fecR_locusTag_b4292	129	24	32	0	0	13
feoA_locusTag_b3408	298	186	84	99	0	99
feoB_locusTag_b3409	4358	1935	1115	702	42	1083
feoC_locusTag_b3410	42	76	20	15	0	20
fepA_locusTag_b0584	286	126	137	22	0	42
fepB_locusTag_b0592	151	107	64	29	0	0
fepC_locusTag_b0588	59	0	0	2	0	2
fepD_locusTag_b0590	82	47	95	27	0	14
fepE_locusTag_b0587	6	0	6	0	0	0
fepG_locusTag_b0589	56	23	27	0	0	8
fes_locusTag_b0585	37	29	4	0	0	0
fetA_locusTag_b0490	45	0	99	34	0	50
fetB_locusTag_b0491	88	46	89	29	10	19
ffh_locusTag_b2610	3464	1313	4549	2545	195	1536
ffs_locusTag_b0455	48	41	81	38	112	799
fhlA_locusTag_b2731	302	206	974	420	7	37
fhuA_locusTag_b0150	545	253	250	249	13	180
fhuB_locusTag_b0153	168	66	165	85	2	3
fhuC_locusTag_b0151	96	83	168	108	0	38
fhuD_locusTag_b0152	34	6	6	18	0	7
fhuE_locusTag_b1102	183	33	101	27	0	50
fhuF_locusTag_b4367	686	433	114	26	0	16
fic_locusTag_b3361	107	53	1158	1023	3	66
fieF_locusTag_b3915	474	234	1132	602	41	421
fimA_locusTag_b4314	2279	929	1873	1053	56	925
fimB_locusTag_b4312	789	453	494	293	17	99
fimC_locusTag_b4316	237	198	130	53	9	64
fimD_locusTag_b4317	416	116	181	58	0	64
fimE_locusTag_b4313	21	1	45	9	6	21
fimF_locusTag_b4318	45	55	3	0	0	0
fimG_locusTag_b4319	138	15	20	0	0	11
fimH_locusTag_b4320	116	49	89	87	0	21
fimI_locusTag_b4315	340	230	258	88	4	205
fis_locusTag_b3261	239	178	408	147	29	244
fiu_locusTag_b0805	21	27	38	0	0	16
fixA_locusTag_b0041	0	0	0	0	0	0
fixB_locusTag_b0042	0	0	0	0	0	8
fixC_locusTag_b0043	10	0	0	0	0	0
fixX_locusTag_b0044	0	0	0	0	0	0
fklB_locusTag_b4207	1184	621	2590	785	15	188
fkpA_locusTag_b3347	1822	845	1941	999	99	398
fkpB_locusTag_b0028	562	325	869	329	20	264
flc_locusTag_b0624	57	36	173	97	7	19
fldA_locusTag_b0684	520	237	774	233	20	363
fldB_locusTag_b2895	491	203	742	468	64	236
flgA_locusTag_b1072	28	0	24	13	0	0
flgB_locusTag_b1073	7	0	0	3	0	0
flgC_locusTag_b1074	0	0	0	0	0	0
flgD_locusTag_b1075	0	0	0	0	0	0
flgE_locusTag_b1076	19	11	84	9	0	0
flgF_locusTag_b1077	0	0	16	12	0	2
flgG_locusTag_b1078	19	16	48	22	1	47
flgH_locusTag_b1079	21	0	13	0	5	11
flgI_locusTag_b1080	8	0	43	29	0	4
flgJ_locusTag_b1081	0	8	21	31	0	4
flgK_locusTag_b1082	47	22	68	77	6	26
flgL_locusTag_b1083	66	12	74	55	0	34
flgM_locusTag_b1071	56	54	63	35	18	112
flgN_locusTag_b1070	119	38	138	93	18	60
flhA_locusTag_b1879	64	42	112	140	0	54
flhB_locusTag_b1880	10	0	21	0	0	10
flhC_locusTag_b1891	36	14	12	0	0	0
flhD_locusTag_b1892	26	0	10	11	0	17
flhE_locusTag_b1878	5	0	17	10	0	1
fliA_locusTag_b1922	16	0	39	10	0	0
fliC_locusTag_b1923	450	175	693	363	19	264
fliD_locusTag_b1924	8	0	81	7	15	47
fliE_locusTag_b1937	0	0	0	0	0	0
fliF_locusTag_b1938	10	24	12	13	0	6
fliG_locusTag_b1939	32	0	54	0	0	35
fliH_locusTag_b1940	22	0	27	16	0	0
fliI_locusTag_b1941	0	0	32	12	0	0
fliJ_locusTag_b1942	0	0	0	0	0	0
fliK_locusTag_b1943	4	15	21	24	0	4
fliL_locusTag_b1944	0	5	0	0	0	0
fliM_locusTag_b1945	0	0	18	6	0	0
fliN_locusTag_b1946	0	0	0	0	0	8
fliO_locusTag_b1947	0	0	6	0	0	0
fliP_locusTag_b1948	1	17	0	0	0	0
fliQ_locusTag_b1949	0	0	15	0	0	6
fliR_locusTag_b1950	22	4	0	0	0	0
fliS_locusTag_b1925	0	10	3	0	0	3
fliT_locusTag_b1926	0	0	0	0	0	3
fliY_locusTag_b1920	665	282	2180	753	49	897
fliZ_locusTag_b1921	5	0	0	0	6	3
flk_locusTag_b2321	224	77	269	112	12	32
flu_locusTag_b2000	602	193	511	224	0	45
flxA_locusTag_b1566	9	0	36	13	8	5
fmt_locusTag_b3288	1030	383	2110	722	87	804
fnrS_locusTag_b4699	62	12	0	23	2	129
fnr_locusTag_b1334	4401	1772	7457	2816	186	2633
focA_locusTag_b0904	3254	1500	2630	1231	152	1474
focB_locusTag_b2492	13	0	22	0	0	25
folA_locusTag_b0048	140	109	368	113	9	42
folB_locusTag_b3058	14	0	23	45	0	4
folC_locusTag_b2315	696	275	568	350	10	75
folD_locusTag_b0529	1190	505	1314	620	11	395
folE_locusTag_b2153	423	316	891	265	18	300
folK_locusTag_b0142	175	75	278	68	0	19
folM_locusTag_b1606	251	155	397	201	15	39
folP_locusTag_b3177	230	118	307	195	0	85
folX_locusTag_b2303	144	209	375	165	13	107
fpr_locusTag_b3924	223	58	555	233	0	94
frc_locusTag_b2374	39	17	42	15	2	70
frdA_locusTag_b4154	2638	1177	4232	1853	81	2421
frdB_locusTag_b4153	606	265	943	465	20	442
frdC_locusTag_b4152	238	48	187	189	1	86
frdD_locusTag_b4151	308	142	398	170	22	433
fre_locusTag_b3844	727	278	1758	902	81	260
frlA_locusTag_b3370	0	0	0	0	0	0
frlB_locusTag_b3371	11	22	11	16	0	0
frlC_locusTag_b4474	12	0	58	15	0	10
frlD_locusTag_b3374	29	9	72	17	0	19
frlR_locusTag_b3375	383	174	267	113	0	82
frmA_locusTag_b0356	1219	713	677	336	638	21277
frmB_locusTag_b0355	643	384	231	94	61	6016
frmR_locusTag_b0357	426	259	139	26	48	3353
frr_locusTag_b0172	2328	770	3386	1881	100	855
frsA_locusTag_b0239	487	229	928	329	42	312
fruA_locusTag_b2167	497	203	796	437	67	327
fruB_locusTag_b2169	391	212	363	111	0	234
fruK_locusTag_b2168	249	43	214	133	9	133
frvA_locusTag_b3900	0	0	0	0	0	0
frvB_locusTag_b3899	0	0	9	5	0	9
frvR_locusTag_b3897	49	1	3	12	0	0
frvX_locusTag_b3898	13	6	42	11	0	0
frwA_locusTag_b3947	0	0	21	4	0	7
frwB_locusTag_b3950	0	0	7	0	0	0
frwC_locusTag_b3949	11	0	3	15	0	10
frwD_locusTag_b3953	0	0	11	3	0	0
fryA_locusTag_b2383	12	49	161	10	0	21
fryB_locusTag_b2387	0	0	0	0	0	0
fryC_locusTag_b2386	31	0	18	0	0	0
fsaA_locusTag_b0825	29	13	51	2	0	30
fsaB_locusTag_b3946	12	0	25	41	0	0
fsr_locusTag_b0479	40	8	67	48	9	60
ftnA_locusTag_b1905	718	197	1114	338	13	92
ftnB_locusTag_b1902	553	198	469	151	43	238
ftsA_locusTag_b0094	1809	604	2465	1975	9	331
ftsB_locusTag_b2748	166	42	231	269	0	15
ftsE_locusTag_b3463	212	82	371	278	9	187
ftsH_locusTag_b3178	6544	2893	9085	4396	457	5632
ftsI_locusTag_b0084	999	614	2662	1550	25	173
ftsK_locusTag_b0890	6239	2518	7733	3471	110	1831
ftsL_locusTag_b0083	165	55	258	154	12	58
ftsN_locusTag_b3933	1393	586	1697	455	21	454
ftsP_locusTag_b3017	689	366	1061	618	8	264
ftsQ_locusTag_b0093	924	299	1490	1112	50	164
ftsW_locusTag_b0089	780	394	1174	727	12	67
ftsX_locusTag_b3462	904	506	1654	1058	76	665
ftsY_locusTag_b3464	1137	409	1573	977	91	1015
ftsZ_locusTag_b0095	2985	1367	6184	2956	225	1802
fucA_locusTag_b2800	0	0	4	0	0	0
fucI_locusTag_b2802	55	22	79	11	0	6
fucK_locusTag_b2803	18	29	64	42	0	25
fucO_locusTag_b2799	91	65	78	119	0	31
fucP_locusTag_b2801	0	0	0	0	0	1
fucR_locusTag_b2805	137	40	224	124	0	65
fucU_locusTag_b2804	63	14	15	53	0	45
fumA_locusTag_b1612	159	18	445	167	1	99
fumB_locusTag_b4122	338	235	935	412	9	647
fumC_locusTag_b1611	52	1	159	14	9	3
fur_locusTag_b0683	730	231	1026	352	24	362
fusA_locusTag_b3340	33976	14034	40908	19510	849	8962
fxsA_locusTag_b4140	354	149	61	53	10	275
gabD_locusTag_b2661	1102	374	2871	833	0	159
gabP_locusTag_b2663	589	189	1486	762	0	45
gabT_locusTag_b2662	1123	627	4001	1197	5	163
gadA_locusTag_b3517	1680	1067	20533	7884	7	18
gadB_locusTag_b1493	3053	1363	27385	12896	19	37
gadC_locusTag_b1492	2936	1563	28351	12210	0	83
gadE_locusTag_b3512	1587	507	10717	6418	0	135
gadW_locusTag_b3515	284	127	2900	1664	7	81
gadX_locusTag_b3516	1078	626	10165	4651	117	471
gadY_locusTag_b4452	383	88	1645	375	3	113
galE_locusTag_b0759	79	21	43	53	0	109
galK_locusTag_b0757	24	31	89	40	8	48
galM_locusTag_b0756	1206	517	1274	500	38	399
galP_locusTag_b2943	98	81	449	109	17	107
galR_locusTag_b2837	291	131	429	141	0	248
galS_locusTag_b2151	106	59	126	69	0	21
galT_locusTag_b0758	47	34	93	3	21	15
galU_locusTag_b1236	630	264	1511	512	64	172
gapA_locusTag_b1779	15503	6165	15941	6483	565	6396
gapC_locusTag_b4493	8331	3376	17224	11028	154	2822
garD_locusTag_b3128	89	28	80	33	0	63
garK_locusTag_b3124	64	30	86	51	18	31
garL_locusTag_b3126	0	0	17	0	0	10
garP_locusTag_b3127	0	0	0	0	0	7
garR_locusTag_b3125	5	0	10	17	0	38
gatA_locusTag_b2094	3787	1153	162	127	13	41
gatB_locusTag_b2093	451	123	9	0	0	0
gatC_locusTag_b2092	4338	1208	212	77	13	25
gatD_locusTag_b2091	3396	856	115	81	0	35
gatR_locusTag_b4498_1	1172	391	246	141	2	51
gatR_locusTag_b4498_2	14	7	0	0	0	15
gatY_locusTag_b2096	4801	1157	562	385	26	185
gatZ_locusTag_b2095	9243	3374	1002	660	21	610
gcd_locusTag_b0124	219	50	2801	763	8	62
gcl_locusTag_b0507	48	0	80	9	15	41
gcvA_locusTag_b2808	348	110	474	137	15	174
gcvB_locusTag_b4443	192	17	46	35	20	38
gcvH_locusTag_b2904	325	102	349	145	0	32
gcvP_locusTag_b2903	1256	562	1545	459	50	171
gcvR_locusTag_b2479	890	390	1441	555	73	401
gcvT_locusTag_b2905	753	402	546	297	53	110
gdhA_locusTag_b1761	9930	4433	6192	3574	118	2772
gfcA_locusTag_b0987	401	86	151	5	10	125
gfcB_locusTag_b0986	12	28	0	0	0	21
gfcC_locusTag_b0985	0	0	7	4	0	15
gfcD_locusTag_b0984	42	8	27	6	0	33
gfcE_locusTag_b0983	17	18	15	10	1	22
ggt_locusTag_b3447	279	76	1393	597	17	60
ghrA_locusTag_b1033	526	119	616	344	27	555
ghrB_locusTag_b3553	616	265	1274	457	0	203
glcA_locusTag_b2975	5	3	198	8	12	12
glcB_locusTag_b2976	208	74	830	443	0	59
glcC_locusTag_b2980	13	5	68	24	0	12
glcD_locusTag_b2979	36	6	55	13	0	26
glcE_locusTag_b4468	9	20	17	12	0	4
glcF_locusTag_b4467	42	0	83	110	0	13
glcG_locusTag_b2977	12	0	61	5	2	8
gldA_locusTag_b3945	182	110	493	244	47	261
glf_locusTag_b2036	893	103	680	490	4	411
glgA_locusTag_b3429	3074	1422	7015	3931	113	1426
glgB_locusTag_b3432	5172	2348	9067	4210	89	1730
glgC_locusTag_b3430	2339	1267	5568	2345	44	453
glgP_locusTag_b3428	5915	2496	9401	5723	209	2382
glgS_locusTag_b3049	210	158	1430	620	19	76
glgX_locusTag_b3431	2337	965	4468	2295	30	455
glk_locusTag_b2388	595	190	825	392	25	285
glmM_locusTag_b3176	1484	700	1797	1163	145	877
glmS_locusTag_b3729	2270	1276	3514	1698	164	1103
glmU_locusTag_b3730	1884	593	2783	1515	25	359
glmY_locusTag_b4441	207	75	90	82	121	917
glmZ_locusTag_b4456	1225	530	452	97	83	753
glnA_locusTag_b3870	53976	24695	40880	15315	5036	100276
glnB_locusTag_b2553	300	123	384	181	6	33
glnD_locusTag_b0167	1731	675	2322	949	43	488
glnE_locusTag_b3053	926	489	1756	1029	20	524
glnG_locusTag_b3868	2681	1097	3959	1573	103	3155
glnH_locusTag_b0811	5645	2729	12023	4135	2891	33315
glnK_locusTag_b0450	1312	836	2775	1666	624	5059
glnL_locusTag_b3869	1906	890	2330	964	137	2193
glnP_locusTag_b0810	2858	1601	3820	1448	1454	17788
glnQ_locusTag_b0809	4933	2151	5419	1991	1047	11608
glnS_locusTag_b0680	2779	1194	3188	1477	103	1613
glnU_locusTag_b0670	20	0	1	0	0	16
glnV_locusTag_b0665	6	0	0	0	0	0
glnW_locusTag_b0668	28	1	4	10	0	2
glnX_locusTag_b0664	5	0	3	0	0	8
gloA_locusTag_b1651	233	121	862	259	2	160
gloB_locusTag_b0212	94	30	238	79	10	129
glpA_locusTag_b2241	4	0	8	0	0	13
glpB_locusTag_b2242	0	0	35	0	0	18
glpC_locusTag_b2243	15	11	24	0	0	19
glpD_locusTag_b3426	68	50	780	335	2	20
glpE_locusTag_b3425	18	0	123	68	0	0
glpF_locusTag_b3927	14	1	39	5	10	0
glpG_locusTag_b3424	257	107	414	512	14	151
glpK_locusTag_b3926	129	22	297	111	3	77
glpQ_locusTag_b2239	113	69	341	190	0	90
glpR_locusTag_b3423	501	179	863	272	0	181
glpT_locusTag_b2240	20	0	63	19	0	8
glpX_locusTag_b3925	235	88	387	127	2	32
glrK_locusTag_b2556	421	200	645	309	10	320
glrR_locusTag_b2554	273	175	296	131	3	65
glsA_locusTag_b0485	192	68	1857	882	0	26
glsB_locusTag_b1524	359	102	458	139	0	79
gltA_locusTag_b0720	8274	4664	7031	2364	107	621
gltB_locusTag_b3212	7241	2561	12947	4589	187	11355
gltD_locusTag_b3213	2056	653	5291	2243	25	2201
gltF_locusTag_b3214	91	51	97	0	0	41
gltI_locusTag_b0655	5984	2425	6006	2634	365	8152
gltJ_locusTag_b0654	739	337	777	301	121	715
gltK_locusTag_b0653	723	491	411	202	21	637
gltL_locusTag_b0652	1041	310	610	257	28	532
gltP_locusTag_b4077	641	204	494	204	23	322
gltS_locusTag_b3653	265	212	503	331	20	107
gltT_locusTag_b3969	1505	713	1141	246	0	43
gltU_locusTag_b3757	395	97	340	185	0	15
gltV_locusTag_b4008	156	43	141	32	0	0
gltW_locusTag_b2590	1935	810	607	902	0	94
gltX_locusTag_b2400	2014	898	3305	1213	51	792
gluQ_locusTag_b0144	98	31	270	142	8	62
glvC_locusTag_b3683	4	0	14	0	0	0
glvG_locusTag_b4556	16	9	15	69	0	7
glxK_locusTag_b0514	37	13	62	63	0	24
glxR_locusTag_b0509	7	0	54	0	0	2
glyA_locusTag_b2551	6453	2499	9400	4315	36	373
glyQ_locusTag_b3560	661	279	1251	420	77	795
glyS_locusTag_b3559	3024	1243	4047	1810	156	2129
glyT_locusTag_b3978	9	9	14	0	0	3
glyU_locusTag_b2864	6	2	16	0	0	0
glyV_locusTag_b4163	62	0	73	23	0	0
glyW_locusTag_b1911	10	0	0	10	0	15
glyX_locusTag_b4164	44	15	36	10	0	13
glyY_locusTag_b4165	49	18	52	18	0	36
gmd_locusTag_b2053	13	0	76	40	0	9
gmhA_locusTag_b0222	954	282	1469	653	39	527
gmhB_locusTag_b0200	571	308	953	526	24	149
gmk_locusTag_b3648	1489	441	1755	683	104	1097
gmr_locusTag_b1285	395	102	955	323	6	129
gnd_locusTag_b2029	2378	913	4876	1714	173	2389
gnsA_locusTag_b4517	111	34	75	63	2	22
gnsB_locusTag_b1550	158	69	288	98	11	22
gntK_locusTag_b3437	105	60	86	51	11	48
