gene_name	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8
fabA_locusTag_ECDH10B_1024	1377	3977	1805	3149	1193	17417	1503	4722	819	1531	1512	4608	1033	1906	36	17
fabB_locusTag_ECDH10B_2485	2874	5541	2040	2469	3064	35300	4035	12835	3025	4601	1836	8298	2483	2368	171	189
fabD_locusTag_ECDH10B_1164	1572	5288	1454	2604	1198	9867	732	2320	1071	964	989	4074	507	1555	25	46
fabF_locusTag_ECDH10B_1167	5027	13065	2565	5306	3014	22555	2375	6241	3721	3618	2670	10214	1382	3317	145	142
fabG_locusTag_ECDH10B_1165	3442	7330	3452	3826	2111	17411	1086	4036	1500	2155	1564	8867	796	1808	61	20
fabH_locusTag_ECDH10B_1163	1068	3281	490	880	509	4667	377	946	412	540	612	2137	289	590	36	28
fabI_locusTag_ECDH10B_1405	2370	7601	1742	2282	1861	11848	1039	2842	1723	2430	1034	4902	747	1462	40	7
fabR_locusTag_ECDH10B_4152	800	2541	485	715	325	3432	493	1078	374	429	140	1143	156	182	20	2
fabZ_locusTag_ECDH10B_0160	778	2594	820	1201	342	3428	773	809	453	669	664	2579	236	556	11	10
fadA_locusTag_ECDH10B_4034	23	77	112	74	88	1303	359	1445	14	10	57	430	64	34	0	0
fadB_locusTag_ECDH10B_4035	26	96	71	278	229	2313	338	2091	57	14	140	468	61	56	10	0
fadD_locusTag_ECDH10B_1943	214	1102	207	339	311	2413	458	1357	94	96	222	1128	191	400	3	0
fadE_locusTag_ECDH10B_0203	81	230	110	265	140	1615	331	1150	37	75	203	590	119	160	0	0
fadH_locusTag_ECDH10B_3256	6	91	28	27	112	582	117	533	59	43	34	183	0	34	0	0
fadI_locusTag_ECDH10B_2505	196	428	53	94	99	594	137	673	131	129	82	252	25	75	0	12
fadJ_locusTag_ECDH10B_2504	330	591	206	235	201	1629	434	1322	216	167	121	792	9	149	11	11
fadL_locusTag_ECDH10B_2507	1347	3805	491	582	401	6165	520	2075	459	389	263	2068	173	370	17	9
fadR_locusTag_ECDH10B_1240	922	2440	642	780	559	4771	572	2022	519	758	461	1776	305	602	38	0
fbaA_locusTag_ECDH10B_3100	10908	49848	11541	21885	9717	127267	10735	36568	8338	13195	7431	38424	3033	6734	368	191
fbaB_locusTag_ECDH10B_2250	32	198	315	195	233	1666	257	996	34	85	198	838	0	30	0	15
fbpC_locusTag_ECDH10B_0248	31	112	10	29	39	144	7	42	38	0	0	69	4	23	0	0
fbp_locusTag_ECDH10B_4427	308	1366	253	364	156	2183	191	512	336	298	255	811	132	129	14	0
fcl_locusTag_ECDH10B_2202	25	8	276	685	13	29	0	20	0	0	512	2579	5	0	0	31
fdhD_locusTag_ECDH10B_4085	297	712	176	208	48	1085	91	341	149	205	96	402	104	192	0	12
fdhE_locusTag_ECDH10B_4081	750	1738	305	524	402	3831	549	1059	447	469	548	1424	247	236	0	27
fdhF_locusTag_ECDH10B_4270	258	530	40	42	66	386	67	67	240	381	58	231	27	69	0	0
fdnG_locusTag_ECDH10B_1605	251	691	41	12	0	107	0	21	123	95	5	52	21	136	0	0
fdnH_locusTag_ECDH10B_1606	20	73	11	0	0	23	0	9	16	0	0	0	0	12	0	0
fdnI_locusTag_ECDH10B_1607	40	91	0	9	12	43	14	29	18	11	0	21	10	20	0	0
fdoG_locusTag_ECDH10B_4084	6610	18983	2106	3456	1468	16389	1910	6413	1462	1379	2403	10596	1262	2476	112	120
fdoH_locusTag_ECDH10B_4083	691	1581	213	428	147	2240	284	948	188	156	478	1933	217	324	7	0
fdoI_locusTag_ECDH10B_4082	180	613	107	53	77	854	51	144	64	39	132	777	126	128	0	0
fdrA_locusTag_ECDH10B_0474	0	11	0	7	15	44	0	5	11	0	0	15	0	14	0	18
fdx_locusTag_ECDH10B_2692	30	368	39	82	163	382	78	91	27	70	40	184	46	60	0	0
feaB_locusTag_ECDH10B_1510	33	257	71	43	38	344	84	310	0	20	90	180	55	103	14	0
feaR_locusTag_ECDH10B_1509	26	100	28	82	70	835	216	469	5	7	85	266	12	11	0	0
fecA_locusTag_ECDH10B_4489	119	370	196	506	72	1290	109	338	14	69	207	800	74	62	12	21
fecB_locusTag_ECDH10B_4488	59	263	95	143	47	521	76	200	5	39	48	332	19	51	12	9
fecC_locusTag_ECDH10B_4487	39	85	29	0	23	113	0	34	15	26	18	99	16	17	0	0
fecD_locusTag_ECDH10B_4486	1	78	29	38	38	97	25	33	0	0	8	73	20	19	0	0
fecE_locusTag_ECDH10B_4485	56	155	58	118	18	339	0	61	7	30	37	102	27	37	0	0
fecI_locusTag_ECDH10B_4491	48	202	131	132	185	846	28	147	11	16	112	410	15	0	14	0
fecR_locusTag_ECDH10B_4490	35	137	173	315	98	651	40	142	0	13	147	477	69	78	7	0
feoA_locusTag_ECDH10B_3583	0	39	0	19	0	28	0	8	44	22	17	23	14	0	0	27
feoB_locusTag_ECDH10B_3584	288	805	95	176	100	511	136	171	645	986	79	368	22	32	0	0
fepA_locusTag_ECDH10B_0543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepA_locusTag_ECDH10B_0651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepB_locusTag_ECDH10B_0552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepB_locusTag_ECDH10B_0660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepC_locusTag_ECDH10B_0548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepC_locusTag_ECDH10B_0656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepD_locusTag_ECDH10B_0550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepD_locusTag_ECDH10B_0658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepE_locusTag_ECDH10B_0547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepE_locusTag_ECDH10B_0655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepG_locusTag_ECDH10B_0549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepG_locusTag_ECDH10B_0657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fes_locusTag_ECDH10B_0544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fes_locusTag_ECDH10B_0652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ffh_locusTag_ECDH10B_2777	4241	11064	1921	3641	2346	17193	3132	5865	1509	1651	1106	6008	1064	1920	37	76
ffs_locusTag_ECDH10B_0411	60	112	24	16	10	295	35	84	27	34	42	46	0	18	0	0
fhlA_locusTag_ECDH10B_2899	345	1384	43	81	42	415	135	224	303	559	30	262	33	161	0	0
fhuA_locusTag_ECDH10B_0130	228	1787	1393	1903	1406	16709	1104	3636	207	182	1129	4067	810	490	25	25
fhuB_locusTag_ECDH10B_0133	116	324	87	60	20	519	42	111	30	59	52	358	44	103	0	0
fhuC_locusTag_ECDH10B_0131	2	226	30	37	84	404	35	71	65	30	20	139	66	52	0	0
fhuD_locusTag_ECDH10B_0132	23	119	39	40	11	63	0	70	26	58	62	171	5	25	0	0
fhuE_locusTag_ECDH10B_1174	70	86	444	608	275	5122	351	762	31	4	375	1640	135	119	70	7
fhuF_locusTag_ECDH10B_4523	170	1310	2236	3827	2609	31099	3937	9556	84	23	2166	8310	950	923	93	73
fic_locusTag_ECDH10B_3537	213	241	28	82	29	401	112	153	86	83	32	185	57	97	0	0
fieF_locusTag_ECDH10B_4104	1425	3801	598	845	428	2653	564	1031	427	410	444	1369	268	957	97	0
fimZ_locusTag_ECDH10B_0491	22	102	3	44	7	239	14	55	0	0	37	85	35	18	20	11
fis_locusTag_ECDH10B_3436	554	2045	164	659	135	845	37	166	113	346	367	1019	188	485	27	7
fiu_locusTag_ECDH10B_0873	25	222	740	879	846	11807	282	547	27	8	506	2170	733	248	18	23
fixA_locusTag_ECDH10B_0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fixB_locusTag_ECDH10B_0043	32	3	0	0	0	0	13	24	0	0	0	0	0	0	0	0
fixC_locusTag_ECDH10B_0044	0	0	0	0	0	8	0	0	0	15	0	0	0	0	0	0
fixX_locusTag_ECDH10B_0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fklB_locusTag_ECDH10B_4402	930	2801	1069	1817	667	6451	534	1828	403	716	854	2468	249	528	22	0
fkpA_locusTag_ECDH10B_3522	1725	5055	1542	3218	1616	15172	2562	4119	922	1215	1430	5060	1305	1321	125	77
fkpB_locusTag_ECDH10B_0029	430	1645	154	527	379	2185	414	838	227	283	209	1199	231	195	22	12
fldA_locusTag_ECDH10B_0749	959	2351	707	1286	510	5076	710	1438	657	869	360	1718	252	635	56	13
fldB_locusTag_ECDH10B_3069	982	2370	440	725	335	3331	464	943	345	470	163	1189	135	340	6	0
flgA_locusTag_ECDH10B_1143	0	14	9	27	0	50	16	58	0	13	0	43	0	0	0	0
flgB_locusTag_ECDH10B_1144	0	0	0	0	12	12	0	0	0	0	0	13	0	0	0	0
flgC_locusTag_ECDH10B_1145	0	0	0	0	0	25	0	9	0	0	0	0	0	0	0	0
flgD_locusTag_ECDH10B_1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flgE_locusTag_ECDH10B_1147	0	17	30	0	0	150	0	5	0	0	0	32	0	0	0	0
flgF_locusTag_ECDH10B_1148	0	75	0	0	6	58	14	14	0	0	0	13	0	12	0	0
flgG_locusTag_ECDH10B_1149	12	32	0	0	0	67	0	47	0	17	11	16	0	0	0	0
flgH_locusTag_ECDH10B_1150	0	3	0	0	0	17	12	0	0	0	0	9	0	0	0	0
flgI_locusTag_ECDH10B_1151	20	14	7	0	8	32	0	21	0	18	0	4	0	0	0	0
flgJ_locusTag_ECDH10B_1152	7	25	0	2	34	55	0	49	0	17	0	38	0	27	0	0
flgK_locusTag_ECDH10B_1153	20	22	8	0	0	46	7	44	17	25	40	51	9	0	0	0
flgL_locusTag_ECDH10B_1154	75	75	38	51	67	176	41	81	0	44	15	68	26	19	0	0
flgM_locusTag_ECDH10B_1142	26	58	26	66	38	150	37	98	6	24	0	52	0	29	0	0
flgN_locusTag_ECDH10B_1141	22	136	28	23	51	330	48	133	18	67	2	143	23	4	0	0
flhA_locusTag_ECDH10B_2020	28	59	35	54	24	138	51	81	16	42	37	82	15	28	0	0
flhB_locusTag_ECDH10B_2021	13	14	0	0	0	0	4	16	0	0	2	6	0	0	0	0
flhD_locusTag_ECDH10B_2033	522	1891	333	623	264	2432	301	874	448	503	253	1012	98	335	0	0
flhE_locusTag_ECDH10B_2019	0	0	0	0	0	7	4	17	0	20	0	0	0	14	0	0
fliA_locusTag_ECDH10B_2063	0	20	0	0	0	33	0	19	0	0	0	0	0	0	0	0
fliD_locusTag_ECDH10B_2065	53	59	0	11	0	99	11	40	18	15	12	99	0	5	0	0
fliE_locusTag_ECDH10B_2079	0	11	0	4	0	33	0	0	0	0	0	5	0	0	0	0
fliF_locusTag_ECDH10B_2080	0	16	0	0	8	19	0	0	0	0	3	6	0	5	0	0
fliG_locusTag_ECDH10B_2081	18	39	0	0	4	35	22	0	2	19	0	11	3	0	0	0
fliH_locusTag_ECDH10B_2082	0	11	20	12	0	12	32	13	0	0	0	41	0	42	0	0
fliI_locusTag_ECDH10B_2083	0	10	8	0	0	32	0	0	0	10	0	11	0	0	0	0
fliJ_locusTag_ECDH10B_2084	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
fliK_locusTag_ECDH10B_2085	0	30	6	0	0	15	11	12	7	0	0	16	0	0	0	0
fliL_locusTag_ECDH10B_2086	0	4	0	0	0	9	0	0	4	0	0	0	0	0	0	0
fliM_locusTag_ECDH10B_2087	0	25	0	0	0	29	27	0	0	0	0	16	0	0	0	0
fliN_locusTag_ECDH10B_2088	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
fliO_locusTag_ECDH10B_2089	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
fliP_locusTag_ECDH10B_2090	9	23	0	0	0	0	0	6	0	0	0	0	0	0	0	0
fliQ_locusTag_ECDH10B_2091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fliR_locusTag_ECDH10B_2092	28	5	0	8	0	8	0	0	0	9	0	0	0	7	0	0
fliS_locusTag_ECDH10B_2066	0	2	0	20	0	45	0	0	0	22	0	3	0	0	0	0
fliT_locusTag_ECDH10B_2067	0	0	0	0	0	9	10	9	0	0	0	0	0	0	0	0
fliY_locusTag_ECDH10B_2061	204	836	454	593	581	4480	1277	2921	173	806	532	1979	801	636	38	54
fliZ_locusTag_ECDH10B_2062	9	0	0	0	0	66	12	0	6	0	0	26	0	9	0	0
flk_locusTag_ECDH10B_2483	355	1607	272	416	186	2105	189	521	110	155	129	613	178	331	16	0
flu_locusTag_ECDH10B_2146	34	149	70	182	166	911	115	345	15	76	116	376	40	100	0	0
flxA_locusTag_ECDH10B_1698	13	28	14	116	15	96	10	47	14	0	21	41	0	23	0	0
fmt_locusTag_ECDH10B_3462	874	3763	540	1085	705	5178	635	1344	480	696	549	1638	268	525	0	8
fnr_locusTag_ECDH10B_1454	1971	7975	971	1857	220	2458	307	1188	692	734	619	3381	142	1142	23	7
focA_locusTag_ECDH10B_0974	1465	3424	83	191	42	467	27	86	1141	1866	31	324	38	437	22	17
focB_locusTag_ECDH10B_2658	3	11	12	0	17	84	31	105	26	17	24	26	0	10	0	0
folA_locusTag_ECDH10B_0049	237	801	232	460	122	2409	145	851	168	114	343	1146	264	255	8	6
folB_locusTag_ECDH10B_3233	205	376	44	104	0	341	17	97	27	83	55	97	0	69	0	0
folC_locusTag_ECDH10B_2477	423	1381	435	741	295	2651	166	614	185	222	208	986	118	232	9	0
folD_locusTag_ECDH10B_0485	595	2115	338	631	262	2215	369	822	301	471	218	1244	47	437	0	9
folE_locusTag_ECDH10B_2310	193	1145	264	914	400	3577	224	975	216	390	285	1751	220	249	24	0
folK_locusTag_ECDH10B_0122	144	982	86	186	88	762	56	180	60	47	51	579	64	200	0	0
folM_locusTag_ECDH10B_1739	148	514	103	63	147	1159	122	467	95	27	56	449	56	85	0	0
folP_locusTag_ECDH10B_3351	311	645	158	295	82	1052	73	202	52	148	127	533	95	170	0	0
folX_locusTag_ECDH10B_2465	165	365	131	187	79	678	72	215	233	129	131	558	35	60	0	0
fpr_locusTag_ECDH10B_4113	539	1734	395	501	385	5053	500	1039	434	839	231	1256	161	356	9	13
frcK_locusTag_ECDH10B_3103	257	726	83	211	62	852	99	265	77	117	66	210	31	50	0	0
frc_locusTag_ECDH10B_2539	18	15	11	0	36	56	0	42	0	0	0	42	0	12	0	0
frdA_locusTag_ECDH10B_4349	9498	22950	191	332	103	1028	95	374	6074	8543	214	741	66	2801	9	0
frdC_locusTag_ECDH10B_4347	1580	4194	57	28	15	157	0	31	1324	1451	52	130	0	335	0	0
frdD_locusTag_ECDH10B_4346	553	1620	0	56	0	99	43	81	621	2845	37	56	32	408	0	0
fre_locusTag_ECDH10B_4033	612	2675	729	1005	308	5051	645	1245	190	431	391	2167	249	607	40	14
frlA_locusTag_ECDH10B_3546	0	8	0	0	14	8	0	0	0	0	0	0	0	0	0	0
frlB_locusTag_ECDH10B_3547	5	3	0	14	11	200	10	36	0	38	8	52	9	0	0	0
frlC_locusTag_ECDH10B_3548	16	36	0	34	33	50	0	30	41	1	0	16	0	25	0	0
frlD_locusTag_ECDH10B_3549	19	138	12	55	0	119	7	54	0	33	17	79	0	12	0	0
frlR_locusTag_ECDH10B_3550	162	480	122	112	78	1490	127	510	77	119	124	324	78	212	32	0
frmA_locusTag_ECDH10B_0311	913	3179	546	789	1437	11417	2433	5025	342	395	1061	4429	1214	1342	238	192
frmB_locusTag_ECDH10B_0310	321	1494	128	258	1072	5477	1049	3006	117	153	678	1992	521	487	130	109
frmR_locusTag_ECDH10B_0312	273	938	157	290	394	2933	1072	1879	53	97	223	1050	295	319	37	39
frr_locusTag_ECDH10B_0152	2253	9714	762	2793	1131	9451	1048	2604	977	2681	1293	5310	750	1821	37	19
frsA_locusTag_ECDH10B_0221	472	2011	339	543	290	1289	272	519	257	483	341	987	87	365	0	2
fruA_locusTag_ECDH10B_2324	8305	19423	10076	11478	7584	64821	13902	33718	6970	6852	8057	29937	2988	5333	194	200
fruK_locusTag_ECDH10B_2325	3887	9623	5040	6294	3736	33943	6291	16639	2706	3307	4067	13380	1004	2846	72	62
fruR_locusTag_ECDH10B_0062	0	39	0	8	0	24	14	0	16	0	0	32	0	18	0	0
frvB_locusTag_ECDH10B_4089	30	128	30	15	7	55	9	5	0	0	29	28	0	35	0	0
frvR_locusTag_ECDH10B_4087	46	117	14	16	0	60	29	11	0	16	0	0	23	13	0	0
frvX_locusTag_ECDH10B_4088	0	120	0	0	0	91	0	17	23	0	0	21	18	0	0	0
frwB_locusTag_ECDH10B_4138	0	0	16	0	0	45	0	10	3	0	0	12	0	0	0	0
frwC_locusTag_ECDH10B_4137	0	40	0	13	7	55	0	23	0	0	15	7	0	0	0	0
frwD_locusTag_ECDH10B_4141	0	0	0	0	20	22	0	0	0	0	12	0	8	0	0	0
fsaA_locusTag_ECDH10B_0894	39	77	14	5	0	131	20	55	10	52	0	30	9	29	0	13
fsaB_locusTag_ECDH10B_4135	64	28	29	0	21	779	199	344	0	13	17	28	16	2	0	0
fsr_locusTag_ECDH10B_0435	119	325	151	133	180	1168	200	566	74	26	84	195	77	136	8	14
ftn_locusTag_ECDH10B_2046	627	2817	87	51	23	353	10	33	400	740	36	254	0	363	0	0
ftsA_locusTag_ECDH10B_0076	1504	3205	929	1472	739	7631	1272	2321	451	742	654	2893	574	1010	7	37
ftsB_locusTag_ECDH10B_2916	174	398	93	137	36	384	9	157	97	91	49	158	31	43	0	0
ftsE_locusTag_ECDH10B_3637	678	1075	53	175	85	1114	113	485	132	180	38	400	156	189	0	11
ftsI_locusTag_ECDH10B_0066	609	1550	376	598	296	5292	719	1985	309	622	307	1316	312	338	37	15
ftsK_locusTag_ECDH10B_0960	3217	10915	2118	3225	2330	22690	3216	8055	791	1573	1612	7058	1191	2402	90	56
ftsL_locusTag_ECDH10B_0065	31	176	50	78	90	645	82	210	50	45	13	154	6	57	0	0
ftsN_locusTag_ECDH10B_4122	1091	4112	487	1318	679	7182	988	2283	558	1139	509	2770	541	839	63	6
ftsQ_locusTag_ECDH10B_0075	657	2140	637	925	473	3933	483	1337	205	335	261	1206	283	489	0	1
ftsW_locusTag_ECDH10B_0071	644	1885	525	786	498	4479	802	1184	222	315	501	1513	173	477	13	16
ftsX_locusTag_ECDH10B_3636	1333	3862	517	829	534	3833	365	1042	708	687	549	1851	185	718	16	19
ftsY_locusTag_ECDH10B_3638	1953	5764	758	1828	359	5021	716	1364	1053	959	549	2318	329	1294	34	47
ftsZ_locusTag_ECDH10B_0077	2749	8011	2487	2803	1881	18983	2568	5901	1277	1913	1681	6433	840	1510	62	28
fucA_locusTag_ECDH10B_2969	0	39	0	15	0	43	8	24	12	4	0	33	0	0	0	0
fucI_locusTag_ECDH10B_2971	57	107	42	30	26	175	13	87	121	64	29	94	0	49	0	0
fucK_locusTag_ECDH10B_2972	10	84	0	21	26	138	8	104	24	64	29	49	0	26	0	0
fucO_locusTag_ECDH10B_2968	116	169	0	91	2	202	74	124	270	264	0	32	17	39	6	0
fucP_locusTag_ECDH10B_2970	32	34	0	0	0	13	0	0	0	14	0	0	0	0	0	0
fucR_locusTag_ECDH10B_2974	115	384	93	120	115	1770	182	668	103	171	98	331	98	172	0	16
fucU_locusTag_ECDH10B_2973	13	168	5	3	13	129	44	85	58	37	38	63	14	24	0	0
fumA_locusTag_ECDH10B_1745	895	2468	1449	1585	598	6061	933	3265	1094	841	704	4056	258	441	8	26
fumB_locusTag_ECDH10B_4314	153	960	23	6	50	1075	97	392	100	342	23	99	24	56	18	35
fumC_locusTag_ECDH10B_1744	198	700	306	408	309	2276	289	1068	177	117	302	936	92	64	9	0
fur_locusTag_ECDH10B_0748	1486	5744	1042	1855	878	11176	1483	4098	507	951	842	3932	646	1030	29	35
fusA_locusTag_ECDH10B_3515	42955	143027	36657	56219	25435	187175	16710	41306	24533	25277	26198	124223	12626	27771	1088	1251
fxsA_locusTag_ECDH10B_4333	214	390	26	24	30	124	23	31	179	413	0	89	38	74	16	9
gabP_locusTag_ECDH10B_2830	6	38	68	74	104	402	102	604	0	0	139	228	0	5	0	13
gabT_locusTag_ECDH10B_2829	50	96	164	383	130	1490	411	1511	20	49	190	825	36	48	18	2
gadA_locusTag_ECDH10B_3694	0	75	0	10	0	58	15	18	12	274	0	68	4	0	0	0
gadB_locusTag_ECDH10B_1624	11	76	0	36	0	142	0	47	15	246	0	107	0	14	0	37
gadC_locusTag_ECDH10B_1623	23	54	10	0	7	71	0	28	6	184	19	84	17	13	0	0
gadE_locusTag_ECDH10B_3688	188	1496	45	127	0	58	18	12	190	1282	33	437	15	127	0	0
gadW_locusTag_ECDH10B_3691	165	731	43	52	4	173	0	70	97	283	16	152	11	97	0	0
gadX_locusTag_ECDH10B_3693	541	1591	30	37	23	139	77	35	237	379	59	94	32	208	11	0
gadY_locusTag_ECDH10B_3692	61	101	20	75	15	77	2	24	59	161	14	81	16	73	0	0
galE_locusTag_ECDH10B_0827	333	698	79	53	2716	21305	3016	7149	292	252	58	266	679	579	123	34
galF_locusTag_ECDH10B_2192	946	4912	1130	3502	992	10151	1831	3861	942	1492	1116	4113	499	830	2	111
galK_locusTag_ECDH10B_0825	253	592	112	109	835	6216	1685	2971	156	130	102	177	385	200	20	15
galM_locusTag_ECDH10B_0823	285	795	107	321	326	2652	388	856	384	548	110	584	211	163	2	40
galR_locusTag_ECDH10B_3009	305	781	190	208	186	1298	163	631	126	162	163	483	88	116	22	0
galS_locusTag_ECDH10B_2308	249	376	82	68	58	637	47	166	36	57	69	240	36	105	10	16
galT_locusTag_ECDH10B_0826	224	429	137	99	1606	14610	2109	6478	100	233	39	167	790	354	51	14
galU_locusTag_ECDH10B_1296	432	1577	710	1370	420	4415	414	1331	541	697	871	2631	227	403	19	5
gapA_locusTag_ECDH10B_1917	12643	39393	11154	14828	9039	97600	7262	25080	13711	17878	8760	32583	4902	7959	534	437
gapC_locusTag_ECDH10B_1543	1558	5569	1711	2552	1555	12215	2864	7714	1007	1592	1229	3764	493	1089	34	57
garD_locusTag_ECDH10B_3301	53	137	16	47	7	53	8	65	170	121	18	109	0	17	16	0
garK_locusTag_ECDH10B_3297	62	97	0	36	0	147	4	29	94	65	13	35	17	37	0	0
garL_locusTag_ECDH10B_3299	35	26	0	4	0	27	0	10	29	42	0	0	0	0	0	19
garP_locusTag_ECDH10B_3300	22	11	0	0	0	0	0	0	59	13	0	6	0	0	0	0
garR_locusTag_ECDH10B_3298	6	36	18	28	0	88	14	44	27	61	0	8	0	0	0	0
gatA_locusTag_ECDH10B_2247	658	2108	283	455	140	985	88	472	1243	1223	584	1418	86	316	0	0
gatB_locusTag_ECDH10B_2246	8	113	18	0	0	52	0	0	169	112	45	32	0	0	0	0
gatC_locusTag_ECDH10B_2245	810	1342	220	226	34	204	22	82	824	881	195	638	58	227	6	0
gatD_locusTag_ECDH10B_2244	608	914	124	144	30	178	16	74	611	760	125	488	44	104	0	13
gatY_locusTag_ECDH10B_2249	2727	7696	2172	3572	951	9340	1049	3520	5016	6320	1503	8143	461	1104	53	14
gcd_locusTag_ECDH10B_0104	1110	3174	592	698	210	1520	175	415	132	139	507	1466	205	530	16	20
gcl_locusTag_ECDH10B_0463	50	99	52	32	35	232	25	90	7	20	17	51	35	35	0	0
gcvA_locusTag_ECDH10B_2977	402	1227	240	203	135	1303	156	459	146	152	149	563	108	265	0	1
gcvB_locusTag_ECDH10B_2978	1027	2066	439	1011	2031	3334	642	2865	946	1384	454	1137	475	1440	0	0
gcvH_locusTag_ECDH10B_3078	448	1579	523	858	271	3082	672	1370	748	482	149	1319	70	268	0	0
gcvP_locusTag_ECDH10B_3077	927	4014	1028	1214	599	5740	716	2277	634	614	763	3001	201	740	0	0
gcvR_locusTag_ECDH10B_2645	329	1051	225	525	300	2890	492	965	359	553	282	969	168	220	0	0
gdhA_locusTag_ECDH10B_1899	728	2758	2542	3235	2668	18785	1866	4322	297	776	1283	5662	603	921	78	36
gfcA_locusTag_ECDH10B_1057	207	806	89	35	16	113	0	60	1	64	38	101	22	76	0	10
gfcB_locusTag_ECDH10B_1056	60	153	19	0	0	8	0	0	0	0	9	28	5	10	0	0
gfcC_locusTag_ECDH10B_1055	24	43	0	0	0	0	7	10	0	0	0	5	0	0	0	0
gfcD_locusTag_ECDH10B_1054	32	5	19	0	15	26	0	23	0	0	0	10	0	32	0	0
gfcE_locusTag_ECDH10B_1053	0	40	26	28	16	7	38	69	0	6	0	9	0	0	0	0
ggt_locusTag_ECDH10B_3621	84	246	125	195	21	489	65	278	2	74	131	493	34	13	0	0
gidA_locusTag_ECDH10B_3928	3734	11268	1614	2891	1938	14940	1608	3610	934	1448	1825	6527	1198	2075	35	123
gidB_locusTag_ECDH10B_3927	526	1994	289	388	171	1961	256	591	153	122	284	1163	146	325	29	0
glcA_locusTag_ECDH10B_3151	137	265	30	64	20	237	0	100	4	36	14	106	32	80	9	10
glcB_locusTag_ECDH10B_3152	120	519	93	116	84	1321	225	1263	139	82	116	277	32	137	19	19
glcC_locusTag_ECDH10B_3157	214	576	106	162	218	1267	318	829	104	46	134	483	44	200	4	10
glcD_locusTag_ECDH10B_3156	43	29	11	12	10	321	513	1278	17	10	17	48	12	0	0	0
glcE_locusTag_ECDH10B_3155	0	23	0	12	10	88	92	258	8	0	0	0	0	0	0	0
glcF_locusTag_ECDH10B_3154	5	78	14	10	20	249	86	335	48	22	59	43	18	10	0	0
glcG_locusTag_ECDH10B_3153	10	56	14	32	1	61	45	63	22	26	4	36	15	0	0	0
gldA_locusTag_ECDH10B_4134	366	667	28	46	43	1437	267	597	506	434	36	14	50	104	0	0
glf_locusTag_ECDH10B_2186	916	3216	879	1286	446	3760	479	1083	221	368	402	2122	169	437	33	0
glgA_locusTag_ECDH10B_3603	798	1841	332	451	419	2507	391	1081	290	469	239	1135	62	277	22	0
glgB_locusTag_ECDH10B_3606	1545	4740	719	1006	621	5981	1261	2617	410	1222	516	2884	215	539	28	19
glgC_locusTag_ECDH10B_3604	547	1697	425	578	300	2402	519	1137	323	488	189	1129	93	337	0	13
glgP_locusTag_ECDH10B_3602	976	3090	775	807	645	5706	948	2107	581	793	525	2285	221	580	16	4
glgS_locusTag_ECDH10B_3223	10	41	14	66	15	206	48	75	106	111	50	65	0	42	0	0
glgX_locusTag_ECDH10B_3605	657	1704	358	319	187	1872	242	823	277	354	166	566	69	303	7	0
glk_locusTag_ECDH10B_2553	341	885	341	769	449	4498	488	1478	607	521	389	1007	165	243	0	0
glmM_locusTag_ECDH10B_3350	2197	6088	1211	1481	652	7617	1162	2367	1348	1675	560	3183	524	1170	56	14
glmU_locusTag_ECDH10B_3917	1992	9158	1081	2624	910	12646	660	1934	1766	3320	820	5089	625	1399	33	51
glnA_locusTag_ECDH10B_4060	1487	5576	1394	2192	1206	13737	1245	4201	1547	1521	5534	15270	2243	3153	250	337
glnB_locusTag_ECDH10B_2720	227	795	135	276	175	1764	463	1140	219	63	110	820	96	367	22	0
glnD_locusTag_ECDH10B_0146	620	2558	261	383	399	3382	390	854	376	402	288	1077	126	321	9	0
glnE_locusTag_ECDH10B_3228	640	1930	453	320	398	3781	411	1051	364	352	160	834	235	280	11	0
glnG_locusTag_ECDH10B_4058	274	956	156	233	175	1203	112	351	141	171	203	682	170	206	41	0
